,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
0,Richard_Shelby,Richard,Shelby,R,AL,http://www.ontheissues.org/Senate/Richard_Shelby.htm,5,5,5,3,2,2,5,-2,3,5,5,5,-3,5,5,3,5,5,5,2,37,33
1,Jeff_Sessions,Jeff,Sessions,R,AL,http://www.ontheissues.org/Senate/Jeff_Sessions.htm,5,5,5,5,2,2,5,-2,3,5,5,5,2,5,5,3,5,2,3,5,37,38
2,Lisa_Murkowski,Lisa,Murkowski,I,AK,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,3,-3,5,5,-3,2,2,-2,3,5,5,3,5,5,5,-2,5,5,5,2,30,25
3,Dan_Sullivan,Dan,Sullivan,R,AK,http://www.ontheissues.org/Senate/Dan_Sullivan.htm,5,0,5,0,5,0,0,5,5,5,0,5,2,2,5,3,5,5,0,2,38,21
4,John_McCain,John,McCain,R,AZ,http://www.ontheissues.org/Senate/John_McCain.htm,3,-3,-2,3,2,5,5,-2,3,5,2,-2,5,2,3,-5,5,-3,5,2,11,22
5,Jeff_Flake,Jeff,Flake,R,AZ,http://www.ontheissues.org/Senate/Jeff_Flake.htm,5,2,3,3,5,2,5,5,3,5,5,3,5,5,-2,-2,5,5,-2,5,21,44
6,John_Boozman,John,Boozman,R,AR,http://www.ontheissues.org/Senate/John_Boozman.htm,5,2,5,5,5,5,5,3,5,5,5,5,5,5,3,-2,5,5,5,2,39,44
7,Tom_Cotton,Tom,Cotton,R,AR,http://www.ontheissues.org/Senate/Tom_Cotton.htm,5,2,5,5,5,5,5,5,-2,5,5,5,0,2,5,0,3,5,0,2,31,36
8,Dianne_Feinstein,Dianne,Feinstein,D,CA,http://www.ontheissues.org/Senate/Dianne_Feinstein.htm,-5,-5,-5,-2,-3,-3,-3,-5,3,-5,-3,-5,2,-3,-2,-2,-2,-5,3,-5,-22,-33
9,Barbara_Boxer,Barbara,Boxer,D,CA,http://www.ontheissues.org/Senate/Barbara_Boxer.htm,-5,-5,-5,-5,-5,-5,-5,-5,-2,-5,-5,-5,-3,-5,3,-2,-2,-5,-2,-5,-30,-48
10,Michael_Bennet,Michael,Bennet,D,CO,http://www.ontheissues.org/Senate/Michael_Bennet.htm,-5,-5,-5,0,-3,-5,-3,-2,0,-3,-5,-5,2,-5,5,-5,3,-3,5,-3,-9,-33
11,Cory_Gardner,Cory,Gardner,R,CO,http://www.ontheissues.org/Senate/Cory_Gardner.htm,5,-3,5,5,5,5,5,5,0,5,5,3,0,5,5,-5,3,5,-2,5,24,37
12,Richard_Blumenthal,Richard,Blumenthal,D,CT,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,-5,-5,-2,-2,-5,-5,-3,-5,3,-5,-5,-2,-3,-5,5,-5,-2,-5,0,-5,-15,-46
13,Chris_Murphy,Chris,Murphy,D,CT,http://www.ontheissues.org/Senate/Chris_Murphy.htm,-5,-5,-5,0,-5,-5,-5,-5,-2,-5,-3,-2,-5,-5,-2,-5,-2,-5,-2,-5,-30,-48
14,Tom_Carper,Tom,Carper,D,DE,http://www.ontheissues.org/Senate/Tom_Carper.htm,-2,-3,-5,-5,-3,-3,-3,-2,3,-5,-3,-2,2,-3,-5,-5,3,-3,3,-3,-17,-27
15,Chris_Coons,Chris,Coons,D,DE,http://www.ontheissues.org/Senate/Chris_Coons.htm,-2,-5,-5,5,-3,-5,-3,-2,3,-5,-5,-2,-3,-5,-2,-5,3,-5,5,-5,-2,-44
16,Bill_Nelson,Bill,Nelson,D,FL,http://www.ontheissues.org/Senate/Bill_Nelson.htm,-2,-5,-5,-2,-5,-5,-5,-5,-2,-3,-3,-2,5,-3,-2,-5,3,-5,0,-5,-22,-34
17,Marco_Rubio,Marco,Rubio,R,FL,http://www.ontheissues.org/Senate/Marco_Rubio.htm,5,2,5,5,2,-3,5,5,3,5,5,3,2,2,5,-2,5,2,5,5,39,27
18,Johnny_Isakson,Johnny,Isakson,R,GA,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,5,0,5,5,2,5,5,3,5,5,5,5,5,5,3,0,5,5,3,2,39,39
19,David_Perdue,David,Perdue,R,GA,http://www.ontheissues.org/Senate/David_Perdue.htm,5,5,5,5,2,2,2,5,0,5,2,5,-3,2,5,3,0,5,-2,5,31,27
20,Brian_Schatz,Brian,Schatz,D,HI,http://www.ontheissues.org/Senate/Brian_Schatz.htm,-5,-5,-5,0,0,-5,-3,-5,3,-5,5,-2,2,5,-2,-5,-2,-5,3,-3,-20,-14
21,Mazie_Hirono,Mazie,Hirono,D,HI,http://www.ontheissues.org/Senate/Mazie_Hirono.htm,-5,-5,-5,3,-5,-5,-5,-5,-2,-5,-5,0,-3,-5,-5,-5,-2,-5,-2,-5,-28,-48
22,Michael_Crapo,Michael,Crapo,R,ID,http://www.ontheissues.org/Senate/Michael_Crapo.htm,5,-3,5,5,2,5,5,-2,5,5,5,5,2,5,5,5,5,5,3,2,41,33
23,Jim_Risch,Jim,Risch,R,ID,http://www.ontheissues.org/Senate/Jim_Risch.htm,5,5,5,5,5,2,5,3,3,5,5,3,0,5,5,3,3,2,5,2,40,36
24,Richard_Durbin,Richard,Durbin,D,IL,http://www.ontheissues.org/Senate/Richard_Durbin.htm,-5,-5,-5,-2,-3,-3,-5,-2,-2,-5,-5,-5,-3,-5,-5,-2,-2,-5,-2,-5,-32,-44
25,Tammy_Duckworth,Tammy,Duckworth,D,IL,http://www.ontheissues.org/Senate/Tammy_Duckworth.htm,-5,-5,-5,0,-5,-5,-5,-5,3,-5,-5,-5,5,0,-2,-5,-5,-3,0,-3,-29,-31
26,Todd_Young,Todd,Young,R,IN,http://www.ontheissues.org/Senate/Todd_Young.htm,5,-3,0,3,5,5,5,3,0,5,5,5,0,-3,5,-5,5,5,-2,5,19,29
27,Joe_Donnelly,Joe,Donnelly,D,IN,http://www.ontheissues.org/Senate/Joe_Donnelly.htm,5,-5,3,0,-5,-5,-5,-2,-2,5,-3,5,-5,-3,3,-5,3,-3,5,-3,15,-32
28,Chuck_Grassley,Chuck,Grassley,R,IA,http://www.ontheissues.org/Senate/Chuck_Grassley.htm,5,5,5,5,2,2,5,-2,3,5,5,5,5,5,3,3,5,2,5,2,37,38
29,Joni_Ernst,Joni,Ernst,R,IA,http://www.ontheissues.org/Senate/Joni_Ernst.htm,5,2,5,5,5,2,5,5,0,5,5,5,5,5,5,5,3,5,-2,5,36,44
30,Pat_Roberts,Pat,Roberts,R,KS,http://www.ontheissues.org/Senate/Pat_Roberts.htm,5,5,5,3,2,5,5,-2,5,5,5,5,5,5,5,5,5,2,3,2,39,41
31,Jerry_Moran,Jerry,Moran,R,KS,http://www.ontheissues.org/Senate/Jerry_Moran.htm,5,-3,5,5,2,5,2,3,3,5,5,3,5,5,3,-2,5,5,5,2,35,33
32,Mitch_McConnell,Mitch,McConnell,R,KY,http://www.ontheissues.org/Senate/Mitch_McConnell.htm,5,2,5,3,5,5,5,3,3,5,5,3,5,5,5,5,5,5,5,5,42,47
33,Rand_Paul,Rand,Paul,R,KY,http://www.ontheissues.org/Senate/Rand_Paul.htm,5,2,3,-2,5,2,5,5,-5,5,5,-2,5,-3,-2,-2,-5,5,-5,2,-10,33
34,John_Neely_Kennedy,John,Neely Kennedy,R,LA,http://www.ontheissues.org/Senate/John_Neely_Kennedy.htm,3,-5,5,0,-5,-3,-3,-5,5,5,-3,5,-5,5,5,-2,-2,2,0,2,14,-10
35,Bill_Cassidy,Bill,Cassidy,R,LA,http://www.ontheissues.org/Senate/Bill_Cassidy.htm,5,2,3,5,5,5,5,3,0,5,5,0,0,-3,0,-5,3,5,0,0,14,29
36,Susan_Collins,Susan,Collins,R,ME,http://www.ontheissues.org/Senate/Susan_Collins.htm,-5,-5,-5,3,-3,2,2,-5,0,2,5,-2,2,2,3,-2,5,-5,0,-3,-8,-1
37,Angus_King,Angus,King,I,ME,http://www.ontheissues.org/Senate/Angus_King.htm,-5,-5,-5,-2,-3,-3,-3,-2,-2,-3,2,-2,2,0,-2,-5,3,-3,3,0,-19,-16
