Description	Single_Field	Agg_Field
POPULATION - Total Population	B01001_001E	
POPULATION - Male	B01001_002E	
POPULATION - Female	B01001_026E	
AGE - 0-9		"B01001_003E,B01001_027E,B01001_004E,B01001_028E"
AGE - 10-17		"B01001_005E,B01001_029E,B01001_006E,B01001_030E"
AGE - 18-20		"B01001_007E,B01001_031E,B01001_008E,B01001_032E"
AGE - 21		"B01001_009E,B01001_033E"
AGE - 22-24		"B01001_010E,B01001_034E"
AGE - 25-29		"B01001_011E,B01001_035E"
AGE - 30-34		"B01001_012E,B01001_036E"
AGE - 35-39		"B01001_013E,B01001_037E"
AGE - 40-44		"B01001_014E,B01001_038E"
AGE - 45-49		"B01001_015E,B01001_039E"
AGE - 50-54		"B01001_016E,B01001_040E"
AGE - 55-59		"B01001_017E,B01001_041E"
AGE - 60-61		"B01001_018E,B01001_042E"
AGE - 62-64		"B01001_019E,B01001_043E"
AGE - 65-66		"B01001_020E,B01001_044E"
AGE - 67-69		"B01001_021E,B01001_045E"
AGE - 70-74		"B01001_022E,B01001_046E"
AGE - 75-79		"B01001_023E,B01001_047E"
AGE - 80-84		"""B01001_024E,B01001_048E"""
AGE - 85 years and over		"""B01001_025E,B01001_049E"""
AGE - Median age (years)	B01002_001E	
RACE - One race	C02003_002E	
RACE - One race - White	C02003_003E	
RACE - One race - Black or African American	C02003_004E	
RACE - One race - American Indian and Alaska Native	C02003_005E	
RACE - One race - Asian	C02003_006E	
RACE - One race - Native Hawaiian and Other Pacific Islander	C02003_007E	
RACE - One race - Some other race	C02003_008E	
RACE - Two or more races	C02003_009E	
RACE - Two or more races - White and Black or African American	C02003_013E	
RACE - Two or more races - White and American Indian and Alaska Native	C02003_014E	
RACE - Two or more races - White and Asian	C02003_015E	
RACE - Two or more races - Black or African American and American Indian and Alaska Native	C02003_016E	
EDUCATION - Less than High School Diploma	B23006_002E	
EDUCATION - High School Diploma	B23006_009E	
EDUCATION - Some College or Associates Degree	B23006_016E	
EDUCATION - Bachelor's Degree or higher	B23006_023E	
PLACE OF BIRTH - Native	B05002_002E	
PLACE OF BIRTH - Foreign born	B05002_013E	
HEALTH INSURANCE - With health insurance coverage		"B27001_004E,B27001_007E,B27001_010E,B27001_013E,B27001_016E,B27001_019E,B27001_022E,B27001_025E,B27001_028E,B27001_032E,B27001_035E,B27001_038E,B27001_041E,B27001_044E,B27001_047E,B27001_050E,B27001_053E,B27001_056E"
HEALTH INSURANCE - No health insurance coverage		"B27001_005E,B27001_008E,B27001_011E,B27001_014E,B27001_017E,B27001_020E,B27001_023E,B27001_026E,B27001_029E,B27001_033E,B27001_036E,B27001_039E,B27001_042E,B27001_045E,B27001_048E,B27001_051E,B27001_054E,B27001_057E"
INCOME - Median family Income	B19113_001E	
EMPLOYMENT - Employed	B23025_004E	
EMPLOYMENT - Unemployed	B23025_005E	
EMPLOYMENT - Armed Forces	B23025_006E	
EMPLOYMENT - Not in labor force	B23025_007E	
