Id,Id2,Geography,State,POPULATION - Total population,POPULATION AND SEX - Total population - Male,POPULATION AND SEX - Total population - Female,POPULATION AND AGE - Under 5 years,POPULATION AND AGE - 5 to 9 years,POPULATION AND AGE - 10 to 14 years,POPULATION AND AGE - 15 to 19 years,POPULATION AND AGE - 20 to 24 years,POPULATION AND AGE - 25 to 34 years,POPULATION AND AGE - 35 to 44 years,POPULATION AND AGE - 45 to 54 years,POPULATION AND AGE - 55 to 59 years,POPULATION AND AGE - 60 to 64 years,POPULATION AND AGE - 65 to 74 years,POPULATION AND AGE - 75 to 84 years,POPULATION AND AGE - 85 years and over,POPULATION AND AGE - Median age (years),POPULATION AND AGE - 18 years and over - Male,POPULATION AND AGE - 18 years and over - Female,RACE - One race,RACE - One race - White,RACE - One race - Black or African American,RACE - One race - American Indian and Alaska Native,RACE - One race - American Indian and Alaska Native - Cherokee tribal grouping,RACE - One race - American Indian and Alaska Native - Chippewa tribal grouping,RACE - One race - American Indian and Alaska Native - Navajo tribal grouping,RACE - One race - American Indian and Alaska Native - Sioux tribal grouping,RACE - One race - Asian,RACE - One race - Asian - Asian Indian,RACE - One race - Asian - Chinese,RACE - One race - Asian - Filipino,RACE - One race - Asian - Japanese,RACE - One race - Asian - Korean,RACE - One race - Asian - Vietnamese,RACE - One race - Asian - Other Asian,RACE - One race - Native Hawaiian and Other Pacific Islander,RACE - One race - Native Hawaiian and Other Pacific Islander - Native Hawaiian,RACE - One race - Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,RACE - One race - Native Hawaiian and Other Pacific Islander - Samoan,RACE - One race - Native Hawaiian and Other Pacific Islander - Other Pacific Islander,RACE - One race - Some other race,RACE - Two or more races,RACE - Two or more races - White and Black or African American,RACE - Two or more races - White and American Indian and Alaska Native,RACE - Two or more races - White and Asian,RACE - Two or more races - Black or African American and American Indian and Alaska Native,CITIZEN - 18 and over population,CITIZEN - 18 and over population - Male,CITIZEN - 18 and over population - Female
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",Alabama,704457,338759,365698,41250,45932,44301,46822,42524,90338,84166,92209,48797,47119,72162,35254,13583,39.6,256861,286557,690895,474871,192647,7670,0,0,0,0,9224,855,2064,1238,344,685,804,3234,192,0,0,0,0,6291,13562,3573,4009,2866,1366,536469,253666,282803
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",Alabama,681621,332477,349144,40969,45607,40278,45196,45361,93644,81824,91114,48075,39596,65346,33477,11134,38.2,253147,274397,668898,429562,219450,2283,0,0,0,0,7813,655,1147,502,253,2373,469,2414,101,0,0,0,0,9689,12723,4679,2506,2312,798,517398,247338,270060
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",Alabama,709482,344900,364582,41654,47570,41834,48807,57540,89632,86387,94189,47693,44444,66045,32196,11491,38.3,262738,288753,700017,492798,186240,2027,0,0,0,0,13838,2949,3158,1376,304,4409,755,887,86,0,0,0,0,5028,9465,2757,2753,907,157,539625,256140,283485
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",Alabama,683273,334330,348943,40667,41314,43709,46645,38598,81750,82566,94337,49034,42699,74007,36729,11218,40.7,255069,273434,673386,603756,48274,5380,0,0,0,0,6139,744,2294,813,166,471,269,1382,87,0,0,0,0,9750,9887,2387,5940,466,156,513264,247056,266208
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",Alabama,712529,351008,361521,38861,46187,42149,49414,45689,90941,90774,100717,52732,42646,65892,32988,13539,40.1,268148,287195,696146,541334,127192,4720,0,0,0,0,10823,2660,2482,1868,271,1112,733,1697,440,0,0,0,0,11637,16383,5278,5607,2941,75,538564,259555,279009
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",Alabama,706308,341170,365138,43431,42477,51986,45719,39020,93505,94747,94293,48043,44016,63703,32272,13096,39,256285,283421,691560,554343,104942,1387,0,0,0,0,11142,2212,1885,1943,615,818,2765,904,276,0,0,0,0,19470,14748,4287,2885,3424,27,520618,247193,273425
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",Alabama,665630,313408,352222,39811,43701,37490,53084,56990,89755,77805,78764,46519,41891,58514,28978,12328,36.5,238565,279213,658540,219720,422357,1042,0,0,0,0,6632,1900,2201,958,28,530,552,463,321,0,0,0,0,8468,7090,2324,1592,481,597,504291,231719,272572
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",Alaska,741894,390573,351321,52495,53661,51068,48829,56890,121629,92373,93124,54081,41912,52097,16963,6772,33.5,291298,263300,677933,477895,23753,108056,1100,766,225,203,45580,906,1777,29275,1772,3796,818,7236,9937,1275,859,6648,1155,12712,63961,8231,31962,10332,1238,531845,280943,250902
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",Arizona,766924,386302,380622,44846,55455,54119,60494,53154,92339,90333,82392,48337,49353,85750,38300,12052,37.5,291853,287746,737605,501533,17994,176452,0,276,111547,650,11702,1422,2254,2396,606,1687,2467,870,1495,0,0,0,0,28429,29319,3692,12152,4283,1834,557842,280243,277599
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",Arizona,722770,352848,369922,42202,39661,40357,41315,52130,95560,78519,84666,45813,51228,85310,47960,18049,40.8,279733,295979,690633,589720,29259,11581,0,0,0,0,22374,1845,5886,4971,1968,1861,3054,2789,1331,0,0,0,0,36368,32137,7910,4569,6528,1329,536883,260766,276117
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",Arizona,752284,379643,372641,53643,57253,53767,63657,74160,97683,97076,89804,36599,39797,54163,27186,7496,32.7,278079,275071,723859,483361,33567,31479,380,0,3625,480,12629,2347,1945,4027,129,513,2055,1613,833,0,0,0,0,161990,28425,3495,9916,1553,1359,469111,235595,233516
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",Arizona,753807,384104,369703,35606,41782,40074,42622,38570,76237,77851,84731,51237,57507,121571,65950,20069,47.9,309241,302215,736152,661739,12380,14651,803,0,2314,49,11496,616,2867,4345,964,397,713,1594,1229,0,0,0,0,34657,17655,4452,5415,2186,797,583918,294068,289850
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",Arizona,785110,384661,400449,55395,58231,58578,50766,38921,102752,105174,105763,43592,39743,71128,40652,14415,37.5,278715,300277,760307,664846,27576,6887,134,321,2735,155,34889,9443,7478,4901,1357,2004,6236,3470,2515,613,74,117,1711,23594,24803,7064,3651,6727,231,542947,261132,281815
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",Arizona,764776,378831,385945,43439,43183,43303,41244,41358,99322,94910,111711,56165,51006,83534,39214,16387,42.3,296834,310995,742014,647628,16806,13367,682,56,2365,0,37208,15601,5247,6587,1549,3205,2603,2416,661,0,0,0,0,26344,22762,3884,3874,8019,332,552829,268236,284593
5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",Arizona,818387,406508,411879,70400,72893,64406,70185,65453,133814,108695,98198,38277,34236,40122,16168,5540,29.7,281360,285903,789033,469488,80721,19932,0,0,0,0,21977,2464,2059,3369,106,582,5655,7742,1763,0,0,0,0,195152,29354,8280,2465,1785,1692,426164,209740,216424
5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",Arizona,782511,377387,405124,42808,44527,57147,51895,39673,86319,92045,97620,51392,49238,91704,55611,22532,42.6,286436,320150,753991,659281,30356,4444,382,0,765,0,30189,7587,3583,7691,1092,2413,4059,3764,1477,0,0,0,0,28244,28520,7683,5670,5111,983,578017,274146,303871
5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",Arizona,784502,393944,390558,47983,46907,43800,52835,74465,145461,104712,91628,43285,44463,51094,26287,11582,33.5,309174,309888,747797,577348,51015,27454,578,0,14300,179,37974,8530,12852,4995,1943,1623,2787,5244,2836,400,195,113,2128,51170,36705,6927,6568,8107,1227,553351,274028,279323
5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",Arkansas,725733,362210,363523,44334,47368,47260,50266,42159,88901,87474,93555,50171,45229,73659,40801,14556,39.9,275880,281732,708561,564015,128849,2177,0,0,0,0,4263,351,1154,730,205,554,45,1224,270,0,0,0,0,8987,17172,4782,6743,597,2091,549962,271774,278188
5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",Arkansas,758929,366715,392214,48740,52810,47518,52462,52970,105146,93393,97367,47640,47070,68058,33772,11983,36.9,275368,305005,735552,538884,169451,2236,0,0,0,0,11620,3996,3117,1259,307,1380,484,1077,772,0,0,0,0,12589,23377,8276,4592,2264,725,561808,265903,295905
5001500US0503,503,"Congressional District 3 (115th Congress), Arkansas",Arkansas,794237,391317,402920,53792,54742,57432,59580,58182,110405,102779,95500,46742,42622,67260,31156,14045,35.3,291165,304529,769356,659604,24659,8440,0,0,0,0,22714,5329,2870,3002,335,576,3027,7575,7265,0,0,0,0,46674,24881,4775,11557,3424,390,549047,268802,280245
5001500US0504,504,"Congressional District 4 (115th Congress), Arkansas",Arkansas,709349,348540,360809,41850,46371,45123,52743,42098,78126,81320,92613,50560,48205,75311,39711,15318,40.8,262191,285018,697358,527563,141557,6006,0,0,0,0,3184,936,123,633,21,86,409,976,501,0,0,0,0,18547,11991,4036,4431,1427,124,532400,255135,277265
5001500US0601,601,"Congressional District 1 (115th Congress), California",California,703162,353345,349817,35977,39585,39593,42500,51269,80664,75275,83667,51824,53294,88850,42557,18107,43,281675,283285,669757,612131,9277,10508,441,74,61,423,21071,1981,2369,2494,1618,1112,938,10559,1412,0,0,0,0,15358,33405,3579,16003,4726,404,545241,271064,274177
5001500US0602,602,"Congressional District 2 (115th Congress), California",California,716202,351736,364466,36122,38829,43943,42429,39661,76574,88847,99068,53694,54202,89482,36169,17182,44.1,281674,291922,676721,570621,9593,15894,1584,0,0,20,26034,2346,8222,5417,2740,1380,2100,3829,881,0,0,0,0,53698,39481,5674,12689,11527,846,521949,255156,266793
