GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,EMPLOYMENT STATUS - Population 16 years and over
HC01_VC04,EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC01_VC05,EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC01_VC06,EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC07,EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC01_VC08,EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC01_VC09,EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC01_VC11,EMPLOYMENT STATUS - Civilian labor force
HC01_VC12,EMPLOYMENT STATUS - Civilian labor force - Unemployment Rate
HC01_VC14,EMPLOYMENT STATUS - Females 16 years and over
HC01_VC15,EMPLOYMENT STATUS - Females 16 years and over - In labor force
HC01_VC16,EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force
HC01_VC17,EMPLOYMENT STATUS - Females 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC19,EMPLOYMENT STATUS - Own children of the householder under 6 years
HC01_VC20,EMPLOYMENT STATUS - Own children of the householder under 6 years - All parents in family in labor force
HC01_VC22,EMPLOYMENT STATUS - Own children of the householder 6 to 17 years
HC01_VC23,EMPLOYMENT STATUS - Own children of the householder 6 to 17 years - All parents in family in labor force
HC01_VC27,COMMUTING TO WORK - Workers 16 years and over
HC01_VC28,"COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- drove alone"
HC01_VC29,"COMMUTING TO WORK - Workers 16 years and over - Car, truck, or van -- carpooled"
HC01_VC30,COMMUTING TO WORK - Workers 16 years and over - Public transportation (excluding taxicab)
HC01_VC31,COMMUTING TO WORK - Workers 16 years and over - Walked
HC01_VC32,COMMUTING TO WORK - Workers 16 years and over - Other means
HC01_VC33,COMMUTING TO WORK - Workers 16 years and over - Worked at home
HC01_VC36,COMMUTING TO WORK - Mean travel time to work (minutes)
HC01_VC40,OCCUPATION - Civilian employed population 16 years and over
HC01_VC41,"OCCUPATION - Civilian employed population 16 years and over - Management, business, science, and arts occupations"
HC01_VC42,OCCUPATION - Civilian employed population 16 years and over - Service occupations
HC01_VC43,OCCUPATION - Civilian employed population 16 years and over - Sales and office occupations
HC01_VC44,"OCCUPATION - Civilian employed population 16 years and over - Natural resources, construction, and maintenance occupations"
HC01_VC45,"OCCUPATION - Civilian employed population 16 years and over - Production, transportation, and material moving occupations"
HC01_VC49,INDUSTRY - Civilian employed population 16 years and over
HC01_VC50,"INDUSTRY - Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC01_VC51,INDUSTRY - Civilian employed population 16 years and over - Construction
HC01_VC52,INDUSTRY - Civilian employed population 16 years and over - Manufacturing
HC01_VC53,INDUSTRY - Civilian employed population 16 years and over - Wholesale trade
HC01_VC54,INDUSTRY - Civilian employed population 16 years and over - Retail trade
HC01_VC55,"INDUSTRY - Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC01_VC56,INDUSTRY - Civilian employed population 16 years and over - Information
HC01_VC57,"INDUSTRY - Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC01_VC58,"INDUSTRY - Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC01_VC59,"INDUSTRY - Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC01_VC60,"INDUSTRY - Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC01_VC61,"INDUSTRY - Civilian employed population 16 years and over - Other services, except public administration"
HC01_VC62,INDUSTRY - Civilian employed population 16 years and over - Public administration
HC01_VC66,CLASS OF WORKER - Civilian employed population 16 years and over
HC01_VC67,CLASS OF WORKER - Civilian employed population 16 years and over - Private wage and salary workers
HC01_VC68,CLASS OF WORKER - Civilian employed population 16 years and over - Government workers
HC01_VC69,CLASS OF WORKER - Civilian employed population 16 years and over - Self-employed in own not incorporated business workers
HC01_VC70,CLASS OF WORKER - Civilian employed population 16 years and over - Unpaid family workers
HC01_VC74,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households
HC01_VC75,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Less than $10,000"
HC01_VC76,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $10,000 to $14,999"
HC01_VC77,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $15,000 to $24,999"
HC01_VC78,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $25,000 to $34,999"
HC01_VC79,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $35,000 to $49,999"
HC01_VC80,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $50,000 to $74,999"
HC01_VC81,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $75,000 to $99,999"
HC01_VC82,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $100,000 to $149,999"
HC01_VC83,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $150,000 to $199,999"
