Id,Id2,Geography,State,EMPLOYMENT - 16 and over - In labor force - Civilian labor force - Employed,EMPLOYMENT - 16 and over - In labor force - Civilian labor force - Unemployed,EMPLOYMENT - 16 and over - In labor force - Armed Forces,EMPLOYMENT - 16 and over - Not in labor force,"INDUSTRY - 16 and over - Agriculture, forestry, fishing and hunting, and mining",INDUSTRY - 16 and over - Construction,INDUSTRY - 16 and over - Manufacturing,INDUSTRY - 16 and over - Wholesale trade,INDUSTRY - 16 and over - Retail trade,"INDUSTRY - 16 and over - Transportation and warehousing, and utilities",INDUSTRY - 16 and over - Information,"INDUSTRY - 16 and over - Finance and insurance, and real estate and rental and leasing","INDUSTRY - 16 and over - Professional, scientific, and management, and administrative and waste management services","INDUSTRY - 16 and over - Educational services, and health care and social assistance","INDUSTRY - 16 and over - Arts, entertainment, and recreation, and accommodation and food services","INDUSTRY - 16 and over - Other services, except public administration",INDUSTRY - 16 and over - Public administration,INCOME - Median household income (dollars),HEALTH INSURANCE - With health insurance coverage,HEALTH INSURANCE - With health insurance coverage - With private health insurance,HEALTH INSURANCE - With health insurance coverage - With public coverage,HEALTH INSURANCE - No health insurance coverage
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",Alabama,292595,17567,850,252645,2881,21178,35033,10225,36159,16652,3072,17871,27676,65580,27030,16318,12920,47083,618616,447407,263642,72566
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",Alabama,285803,18432,6321,234172,5762,15151,40761,7648,37187,17297,3546,13056,24808,58843,25283,13632,22829,42035,594231,429831,259552,67115
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",Alabama,301627,21347,3175,243054,4227,18507,51144,6734,32066,13520,4284,18760,24888,71809,26533,13947,15208,46544,639025,484991,252022,57818
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",Alabama,276595,17966,419,253782,6123,20130,56257,7417,33738,14354,3628,12339,17114,58468,20069,15378,11580,41110,612803,442772,271801,64222
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",Alabama,325288,17818,1688,230668,2361,20619,46613,6888,37921,14481,5680,11030,47609,67343,27373,13683,23687,51690,643485,520213,228650,57671
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",Alabama,331531,15368,324,213132,3093,21708,28513,11815,37536,19148,7665,31479,36305,75238,26754,19234,13043,61413,651648,540032,200052,46505
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",Alabama,264886,32465,598,237625,3075,13112,35266,3840,32513,15234,5672,15118,21582,68256,28216,12743,10259,34664,587748,383991,286688,69076
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",Alaska,357098,30964,15716,171310,15644,23833,15343,8026,41089,28449,7959,11888,28119,85260,31839,15203,44446,76440,617791,483397,211252,100628
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",Arizona,278890,27463,466,295547,11527,15355,18064,4690,31200,14002,2630,11737,22418,70071,42218,13299,21679,50537,668343,424548,339222,80573
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",Arizona,308498,21953,6966,254003,4038,15199,18344,4628,38636,11912,5217,17468,45892,77586,34080,14941,20557,49072,647168,447529,312850,53198
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",Arizona,315887,33254,2327,224717,9771,31467,18950,7962,43829,18018,3529,17488,31124,63747,33915,18675,17412,44224,643701,391876,313617,91318
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",Arizona,270423,20705,2701,334476,6674,15690,16099,5697,37677,14575,5059,15956,23349,58459,37159,15264,18765,49466,670460,452900,365433,58617
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",Arizona,362260,19194,386,219536,2031,22442,34580,10534,42046,17234,7703,39632,42901,80439,31302,17338,14078,71693,732897,605098,223345,50546
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",Arizona,380137,20130,135,225113,2519,20935,23973,11012,43752,15771,8389,50502,58300,79504,38405,16230,10845,67830,696932,525294,254014,65533
5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",Arizona,357775,24472,1057,211229,1157,36412,30101,8097,41171,26586,5534,21726,48565,63529,37274,25394,12229,40991,663612,330837,373454,147877
5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",Arizona,334905,18952,1987,271504,1732,24336,19628,9152,44754,19109,6690,35756,33900,76843,31853,16132,15020,61754,721851,540216,290533,50451
5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",Arizona,423006,24728,768,187940,986,25248,32498,9302,46698,19133,10645,41695,60023,91755,49669,21832,13522,55349,698443,527275,238560,83125
5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",Arkansas,288895,22271,1229,265202,15381,17335,43608,7862,36884,16802,4353,11750,16095,71346,21482,12900,13097,40492,644375,395410,343653,55868
5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",Arkansas,343258,16952,2759,236171,3048,19901,26505,9565,44888,20104,10117,22601,29489,93799,28099,18705,16437,49498,699187,502994,297918,49839
5001500US0503,503,"Congressional District 3 (115th Congress), Arkansas",Arkansas,363404,12227,138,240403,4929,24201,55447,7577,56956,18585,4654,16473,37669,76543,34743,16327,9300,47903,716710,516181,293236,71451
