Id,Id2,Geography,State,HOUSEHOLDS - Total households,EDUCATION - 25 and Over - Less than 9th grade,"EDUCATION - 25 and Over - 9th to 12th grade, no diploma",EDUCATION - 25 and Over - High school graduate (includes equivalency),"EDUCATION - 25 and Over - Some college, no degree",EDUCATION - 25 and Over - Associate's degree,EDUCATION - 25 and Over - Bachelor's degree,EDUCATION - 25 and Over - Graduate or professional degree,PLACE OF BIRTH - Born in United States,"PLACE OF BIRTH - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",PLACE OF BIRTH - Foreign born,ANCESTRY - American,ANCESTRY - Arab,ANCESTRY - Czech,ANCESTRY - Danish,ANCESTRY - Dutch,ANCESTRY - English,ANCESTRY - French (except Basque),ANCESTRY - French Canadian,ANCESTRY - German,ANCESTRY - Greek,ANCESTRY - Hungarian,ANCESTRY - Irish,ANCESTRY - Italian,ANCESTRY - Lithuanian,ANCESTRY - Norwegian,ANCESTRY - Polish,ANCESTRY - Portuguese,ANCESTRY - Russian,ANCESTRY - Scotch-Irish,ANCESTRY - Scottish,ANCESTRY - Slovak,ANCESTRY - Subsaharan African,ANCESTRY - Swedish,ANCESTRY - Swiss,ANCESTRY - Ukrainian,ANCESTRY - Welsh,ANCESTRY - West Indian (excluding Hispanic origin groups),COMPUTERS and Internet by Household - With a computer,COMPUTERS and Internet by Household - With a broadband Internet subscription
5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",Alabama,264399,15481,46984,158178,101686,45045,73720,42534,680541,4915,19001,111234,4406,1666,435,4436,49650,21111,1596,51300,1817,744,57096,13882,243,2103,4074,181,1299,8844,14868,173,2362,2643,707,824,2849,1169,216464,189889
5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",Alabama,259766,23067,51561,148183,104317,35913,64329,36840,655315,8770,17536,118682,1518,741,261,4001,43365,7340,1209,34646,789,1064,40349,8665,298,1651,2918,328,1201,9251,10613,93,13598,1702,389,369,3158,1137,212551,191321
5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",Alabama,270850,22933,54322,144060,107250,36027,64031,43454,683748,6034,19700,100822,624,1292,261,4793,48280,8251,1072,45280,1262,1468,57718,11288,363,3210,3830,188,1246,12721,11675,0,4110,1929,288,515,4202,1444,233815,204766
5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",Alabama,256036,37158,55452,157757,102502,39050,51327,29094,655816,4100,23357,135135,674,408,718,5156,44776,5913,615,43901,830,518,70234,8929,479,969,4022,296,622,9632,11710,242,2256,2441,97,5,2700,1015,208965,185291
5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",Alabama,278329,26315,40250,137219,100994,37053,90532,57866,670884,10677,30968,94522,412,601,822,6921,62837,14123,1669,53904,1121,2422,74390,15869,366,3908,5518,378,1756,13316,14882,402,3473,2920,355,400,4241,4240,241891,219477
5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",Alabama,267123,15422,32533,119956,98191,39884,109930,67759,666067,6635,33606,96163,4931,1058,1170,6177,73558,14039,972,54876,2585,883,80102,22422,517,2201,6856,250,2939,18516,19851,457,4681,2149,1034,637,4337,1203,239477,221457
5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",Alabama,256015,17421,52795,145883,96291,38058,52811,31295,642235,3934,19461,72678,2291,391,203,2196,22320,3358,653,22997,1031,449,27428,7527,469,645,2552,229,423,7480,6287,211,9850,1313,204,211,1318,1232,201635,171146
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",Alaska,248468,10392,22585,133928,129650,40819,90861,50716,664942,19588,57364,26193,2006,3362,4892,10536,58936,20895,5321,108811,3804,1872,70790,20779,953,24996,15702,1691,8722,9889,20063,1135,2807,17945,3009,1648,6600,1890,233222,213002
5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",Arizona,249358,27069,44111,129997,132934,42398,71911,50436,716307,7290,43327,30315,863,4004,5916,6573,63124,15812,2471,91032,2487,2686,63475,23029,195,10395,12024,1003,5682,6971,14116,823,1472,10404,2584,816,5363,821,213274,186595
5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",Arizona,301297,18199,31588,107850,130945,46329,97801,74393,620531,17417,84822,21332,5350,4418,5239,10858,71866,18989,5126,110745,2775,2876,78108,32093,1551,11435,17488,2109,6244,8492,17262,1524,3713,10709,2552,1824,9547,1771,274094,255576
5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",Arizona,242621,51082,52425,125460,113918,32865,50853,23201,580416,8662,163206,20121,3107,1577,1499,5293,30155,10983,2293,48373,1044,1011,39480,16827,300,5096,6286,2026,2770,2878,7470,353,3099,4640,992,616,1713,1566,215863,196298
5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",Arizona,296652,19414,47005,164128,165691,52489,66553,39873,694014,6681,53112,36488,733,2756,5104,14510,85348,20090,5600,126647,3250,2062,78519,33436,1474,18176,16548,1729,4507,8948,19758,1118,1161,15400,2642,2310,6079,401,262528,239410
5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",Arizona,274044,13897,22337,108817,140820,48889,117145,71314,692958,11974,80178,28511,4285,3024,7193,8924,82157,15979,3684,111938,3051,3796,71363,33805,1176,14959,19384,1797,5669,6596,18268,853,3635,12432,1410,1916,6043,1090,257385,243876
5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",Arizona,313796,16673,22162,98763,120481,43466,158682,92022,645806,8584,110386,30991,12045,4174,5809,14221,69147,19077,4068,135492,3896,4019,88062,51896,1892,17300,28175,2691,12695,8306,18264,1371,2065,14248,3075,4474,5715,1461,296573,280192
