Year,state_abbr,candidate,votes
2010,AK,Joe Miller,90839
2010,AK,Lisa Murkowski,104129
2010,AK,Scott McAdams,60045
2010,AL,Richard Shelby,968181
2010,AL,William Barnes,515619
2010,AR,Blanche Lincoln,288156
2010,AR,John Boozman,451618
2010,AR,Trevor Drown,40183
2010,AZ,David Nolan,115488
2010,AZ,John McCain,1005615
2010,AZ,Rodney Glassman,592011
2010,CA,Barbara Boxer,5218441
2010,CA,Carly Fiorina,4217366
2010,CA,Gail Lightfoot,564286
2010,CO,Charley Miller,92102
2010,CO,Ken Buck,822731
2010,CO,Michael Bennet,851590
2010,CT,Linda McMahon,498341
2010,CT,Richard Blumenthal,636040
2010,CT,Warren Mosler,11275
2010,FL,Charlie Crist,1637299
2010,FL,Kendrick Meek,1092936
2010,FL,Marco Rubio,2645743
2010,GA,Chuck Donovan,68750
2010,GA,Johnny Isakson,1489904
2010,GA,Michael Thurmond,996516
2010,HI,Cam Cavasso,79924
2010,HI,Daniel Inouye,277167
2010,HI,Jeff Jarrett,13415
2010,IA,Charles Grassley,718215
2010,IA,John Heiderscheit,26162
2010,IA,Roxanne Conlin,371686
2010,ID,Mike Crapo,319953
2010,ID,P Sullivan,112057
2010,ID,Randy Bergquist,17429
2010,IL,Alexander Giannoulias,1719478
2010,IL,Mark Kirk,1778698
2010,IL,Robert Zadek,205725
2010,IN,Brad Ellsworth,697775
2010,IN,Dan Coats,952116
2010,IN,Rebecca Sink-Burris,94330
2010,KS,Jerry Moran,587175
2010,KS,Lisa Johnston,220971
2010,KS,Michael Dann,29546
2010,KY,Billy Wilson,1214
2010,KY,Jack Conway,599843
2010,KY,Rand Paul,755411
2010,LA,Charlie Melancon,476572
2010,LA,David Vitter,715415
2010,LA,Ernest Wooton,28003
2010,MD,Barbara Mikulski,1140531
2010,MD,Eric Wargotz,655666
2010,MD,Richard Shawver,37107
2010,MO,Jonathan Dine,99972
2010,MO,Robin Carnahan,789736
2010,MO,Roy Blunt,1054160
2010,NC,Elaine Marshall,1145074
2010,NC,Michael Beitler,56959
2010,NC,Richard Burr,1458046
2010,ND,John Hoeven,181689
2010,ND,Keith Hanson,4168
2010,ND,Tracy Potter,4168
2010,NH,Chris Booth,14386
2010,NH,Kelly Ayotte,273218
2010,NH,Paul Hodes,167545
2010,NV,Harry Reid,362785
2010,NV,Jesse Holland,12171
2010,NV,Sharron Angle,321361
2010,NY,Charles Schumer,3047775
2010,NY,Jay Townsend,1480337
2010,NY,Randy Credico,68477
2010,OH,Lee Fisher,1503286
2010,OH,Michael Pryce,142410
2010,OH,Rob Portman,2168736
2010,OK,Jim Rogers,265814
2010,OK,Stephen Wallace,25048
2010,OK,Tom Coburn,718482
2010,OR,Jim Huffman,566199
2010,OR,Marc Delphine,36416
2010,OR,Ron Wyden,825507
2010,PA,Joe Sestak,1948716
2010,PA,Pat Toomey,2028945
2010,SC,Alvin Greene,364598
2010,SC,Jim DeMint,810771
2010,SC,Tom Clements,143425
2010,UT,Mike Lee,390179
2010,UT,Sam Granato,207685
2010,UT,Scott Bradley,35937
2010,VT,Daniel Freilich,5090
2010,VT,Len Britton,72699
2010,VT,Patrick Leahy,151281
2010,WA,Dino Rossi,1196164
2010,WA,Patty Murray,1314930
2010,WI,Rob Taylor,24111
2010,WI,Ron Johnson,1125999
2010,WI,Russ Feingold,1020958
2012,AZ,Jeff Flake,1024459
2012,AZ,Marc Victor,91591
2012,AZ,Richard Carmona,943660
2012,CA,Dianne Feinstein,6538196
2012,CA,Elizabeth Emken,4081156
2012,CT,Chris Murphy,815077
2012,CT,Linda McMahon,637857
2012,CT,Paul Passarelli,24883
2012,DE,Alexander Pires,15300
2012,DE,Andrew Groff,3191
2012,DE,Kevin Wade,115694
2012,DE,Thomas Carper,265374
2012,FL,Bill Nelson,4521534
2012,FL,Chris Borgia,82040
2012,FL,Connie Mack,3457254
2012,FL,William Gaylor,126043
2012,HI,Linda Lingle,159002
2012,HI,Mazie Hirono,266435
2012,IN,Andrew Horning,146453
2012,IN,Joe Donnelly,1268407
2012,IN,Richard Mourdock,1126832
2012,MA,Elizabeth Warren,1678408
2012,MA,Scott Brown,1449180
2012,MD,Benjamin Cardin,1335706
2012,MD,Daniel Bongino,642443
2012,MD,Dean Ahmad,29345
2012,MD,Rob Sobhani,409785
2012,ME,Andrew Dodge,6313
2012,ME,Angus King,368130
2012,ME,Charles Summers,213644
2012,ME,Cynthia Dill,91694
2012,ME,Danny Dalton,6510
2012,ME,Stephen Woods,10297
2012,MI,Debbie Stabenow,2732886
2012,MI,Harley Mikkelson,27896
2012,MI,John Litle,11234
2012,MI,Pete Hoekstra,1765548
2012,MI,Richard Matkin,26022
2012,MI,Scotty Boman,84463
2012,MN,Amy Klobuchar,1856196
2012,MN,Kurt Bills,868977
2012,MN,Michael Cavlan,14009
2012,MN,Stephen Williams,73640
2012,MN,Tim Davis,30578
2012,MO,Claire McCaskill,1484683
2012,MO,Jonathan Dine,164991
2012,MO,Todd Akin,1063698
2012,MS,Albert Gore,472930
2012,MS,Roger Wicker,673223
2012,MS,Shawn O'Hara,12559
2012,MS,Thomas Cramer,14486
2012,MT,Dan Cox,31287
2012,MT,Denny Rehberg,215701
2012,MT,Jon Tester,234465
2012,ND,Heidi Heitkamp,160752
2012,ND,Rick Berg,157758
