,state_abbr,county_name,year,candidate,votes_total,combined
1,AL,Autauga,2010,Richard Shelby,13980.0,ALautauga
2,AL,Autauga,2010,William Barnes,3978.0,ALautauga
3,AL,Baldwin,2010,Richard Shelby,46471.0,ALbaldwin
4,AL,Baldwin,2010,William Barnes,11027.0,ALbaldwin
5,AL,Barbour,2010,Richard Shelby,4242.0,ALbarbour
6,AL,Barbour,2010,William Barnes,4030.0,ALbarbour
7,AL,Bibb,2010,Richard Shelby,4849.0,ALbibb
8,AL,Bibb,2010,William Barnes,1569.0,ALbibb
9,AL,Blount,2010,Richard Shelby,14296.0,ALblount
10,AL,Blount,2010,William Barnes,2448.0,ALblount
11,AL,Bullock,2010,William Barnes,2720.0,ALbullock
12,AL,Bullock,2010,Richard Shelby,1146.0,ALbullock
13,AL,Butler,2010,Richard Shelby,4145.0,ALbutler
14,AL,Butler,2010,William Barnes,2888.0,ALbutler
15,AL,Calhoun,2010,Richard Shelby,23643.0,ALcalhoun
16,AL,Calhoun,2010,William Barnes,10046.0,ALcalhoun
17,AL,Chambers,2010,Richard Shelby,5594.0,ALchambers
18,AL,Chambers,2010,William Barnes,4705.0,ALchambers
19,AL,Cherokee,2010,Richard Shelby,5021.0,ALcherokee
20,AL,Cherokee,2010,William Barnes,2111.0,ALcherokee
21,AL,Chilton,2010,Richard Shelby,10801.0,ALchilton
22,AL,Chilton,2010,William Barnes,2735.0,ALchilton
23,AL,Choctaw,2010,Richard Shelby,3510.0,ALchoctaw
24,AL,Choctaw,2010,William Barnes,3108.0,ALchoctaw
25,AL,Clarke,2010,Richard Shelby,6063.0,ALclarke
26,AL,Clarke,2010,William Barnes,4483.0,ALclarke
27,AL,Clay,2010,Richard Shelby,3829.0,ALclay
28,AL,Clay,2010,William Barnes,1401.0,ALclay
29,AL,Cleburne,2010,Richard Shelby,4009.0,ALcleburne
30,AL,Cleburne,2010,William Barnes,1068.0,ALcleburne
31,AL,Coffee,2010,Richard Shelby,11759.0,ALcoffee
32,AL,Coffee,2010,William Barnes,3348.0,ALcoffee
33,AL,Colbert,2010,Richard Shelby,9920.0,ALcolbert
34,AL,Colbert,2010,William Barnes,6781.0,ALcolbert
35,AL,Conecuh,2010,Richard Shelby,2752.0,ALconecuh
36,AL,Conecuh,2010,William Barnes,2444.0,ALconecuh
37,AL,Coosa,2010,Richard Shelby,2482.0,ALcoosa
38,AL,Coosa,2010,William Barnes,1911.0,ALcoosa
39,AL,Covington,2010,Richard Shelby,9785.0,ALcovington
40,AL,Covington,2010,William Barnes,2313.0,ALcovington
41,AL,Crenshaw,2010,Richard Shelby,3837.0,ALcrenshaw
42,AL,Crenshaw,2010,William Barnes,1572.0,ALcrenshaw
43,AL,Cullman,2010,Richard Shelby,23918.0,ALcullman
44,AL,Cullman,2010,William Barnes,5752.0,ALcullman
45,AL,Dale,2010,Richard Shelby,10557.0,ALdale
46,AL,Dale,2010,William Barnes,3274.0,ALdale
47,AL,Dallas,2010,William Barnes,10248.0,ALdallas
48,AL,Dallas,2010,Richard Shelby,5372.0,ALdallas
49,AL,DeKalb,2010,Richard Shelby,14520.0,ALdekalb
50,AL,DeKalb,2010,William Barnes,5410.0,ALdekalb
51,AL,Elmore,2010,Richard Shelby,20689.0,ALelmore
52,AL,Elmore,2010,William Barnes,5555.0,ALelmore
53,AL,Escambia,2010,Richard Shelby,7236.0,ALescambia
54,AL,Escambia,2010,William Barnes,3307.0,ALescambia
55,AL,Etowah,2010,Richard Shelby,22124.0,ALetowah
56,AL,Etowah,2010,William Barnes,9647.0,ALetowah
