,state_abbr,county_name,year,candidate,votes_total,combined
1,AL,Autauga,2010,Richard Shelby,13980,ALautauga
2,AL,Autauga,2010,William Barnes,3978,ALautauga
3,AL,Baldwin,2010,Richard Shelby,46471,ALbaldwin
4,AL,Baldwin,2010,William Barnes,11027,ALbaldwin
5,AL,Barbour,2010,Richard Shelby,4242,ALbarbour
6,AL,Barbour,2010,William Barnes,4030,ALbarbour
7,AL,Bibb,2010,Richard Shelby,4849,ALbibb
8,AL,Bibb,2010,William Barnes,1569,ALbibb
9,AL,Blount,2010,Richard Shelby,14296,ALblount
10,AL,Blount,2010,William Barnes,2448,ALblount
11,AL,Bullock,2010,William Barnes,2720,ALbullock
12,AL,Bullock,2010,Richard Shelby,1146,ALbullock
13,AL,Butler,2010,Richard Shelby,4145,ALbutler
14,AL,Butler,2010,William Barnes,2888,ALbutler
15,AL,Calhoun,2010,Richard Shelby,23643,ALcalhoun
16,AL,Calhoun,2010,William Barnes,10046,ALcalhoun
17,AL,Chambers,2010,Richard Shelby,5594,ALchambers
18,AL,Chambers,2010,William Barnes,4705,ALchambers
19,AL,Cherokee,2010,Richard Shelby,5021,ALcherokee
20,AL,Cherokee,2010,William Barnes,2111,ALcherokee
21,AL,Chilton,2010,Richard Shelby,10801,ALchilton
22,AL,Chilton,2010,William Barnes,2735,ALchilton
23,AL,Choctaw,2010,Richard Shelby,3510,ALchoctaw
24,AL,Choctaw,2010,William Barnes,3108,ALchoctaw
25,AL,Clarke,2010,Richard Shelby,6063,ALclarke
26,AL,Clarke,2010,William Barnes,4483,ALclarke
27,AL,Clay,2010,Richard Shelby,3829,ALclay
28,AL,Clay,2010,William Barnes,1401,ALclay
29,AL,Cleburne,2010,Richard Shelby,4009,ALcleburne
30,AL,Cleburne,2010,William Barnes,1068,ALcleburne
31,AL,Coffee,2010,Richard Shelby,11759,ALcoffee
32,AL,Coffee,2010,William Barnes,3348,ALcoffee
33,AL,Colbert,2010,Richard Shelby,9920,ALcolbert
34,AL,Colbert,2010,William Barnes,6781,ALcolbert
35,AL,Conecuh,2010,Richard Shelby,2752,ALconecuh
36,AL,Conecuh,2010,William Barnes,2444,ALconecuh
37,AL,Coosa,2010,Richard Shelby,2482,ALcoosa
38,AL,Coosa,2010,William Barnes,1911,ALcoosa
39,AL,Covington,2010,Richard Shelby,9785,ALcovington
40,AL,Covington,2010,William Barnes,2313,ALcovington
41,AL,Crenshaw,2010,Richard Shelby,3837,ALcrenshaw
42,AL,Crenshaw,2010,William Barnes,1572,ALcrenshaw
43,AL,Cullman,2010,Richard Shelby,23918,ALcullman
44,AL,Cullman,2010,William Barnes,5752,ALcullman
45,AL,Dale,2010,Richard Shelby,10557,ALdale
46,AL,Dale,2010,William Barnes,3274,ALdale
47,AL,Dallas,2010,William Barnes,10248,ALdallas
48,AL,Dallas,2010,Richard Shelby,5372,ALdallas
49,AL,DeKalb,2010,Richard Shelby,14520,ALdekalb
50,AL,DeKalb,2010,William Barnes,5410,ALdekalb
51,AL,Elmore,2010,Richard Shelby,20689,ALelmore
52,AL,Elmore,2010,William Barnes,5555,ALelmore
53,AL,Escambia,2010,Richard Shelby,7236,ALescambia
54,AL,Escambia,2010,William Barnes,3307,ALescambia
55,AL,Etowah,2010,Richard Shelby,22124,ALetowah
56,AL,Etowah,2010,William Barnes,9647,ALetowah
57,AL,Fayette,2010,Richard Shelby,4417,ALfayette
58,AL,Fayette,2010,William Barnes,1583,ALfayette
59,AL,Franklin,2010,Richard Shelby,5572,ALfranklin
60,AL,Franklin,2010,William Barnes,2992,ALfranklin
61,AL,Geneva,2010,Richard Shelby,7817,ALgeneva
62,AL,Geneva,2010,William Barnes,1738,ALgeneva
63,AL,Greene,2010,William Barnes,3507,ALgreene
64,AL,Greene,2010,Richard Shelby,796,ALgreene
65,AL,Hale,2010,William Barnes,3895,ALhale
66,AL,Hale,2010,Richard Shelby,2568,ALhale
67,AL,Henry,2010,Richard Shelby,4493,ALhenry
68,AL,Henry,2010,William Barnes,2226,ALhenry
69,AL,Houston,2010,Richard Shelby,24218,ALhouston
70,AL,Houston,2010,William Barnes,8234,ALhouston
71,AL,Jackson,2010,Richard Shelby,10507,ALjackson
72,AL,Jackson,2010,William Barnes,4589,ALjackson
73,AL,Jefferson,2010,Richard Shelby,113144,ALjefferson
74,AL,Jefferson,2010,William Barnes,98773,ALjefferson
75,AL,Lamar,2010,Richard Shelby,3647,ALlamar
76,AL,Lamar,2010,William Barnes,1236,ALlamar
77,AL,Lauderdale,2010,Richard Shelby,18374,ALlauderdale
78,AL,Lauderdale,2010,William Barnes,9389,ALlauderdale
79,AL,Lawrence,2010,Richard Shelby,7060,ALlawrence
80,AL,Lawrence,2010,William Barnes,4381,ALlawrence
81,AL,Lee,2010,Richard Shelby,21484,ALlee
82,AL,Lee,2010,William Barnes,12187,ALlee
83,AL,Limestone,2010,Richard Shelby,19505,ALlimestone
84,AL,Limestone,2010,William Barnes,6326,ALlimestone
85,AL,Lowndes,2010,William Barnes,3647,ALlowndes
86,AL,Lowndes,2010,Richard Shelby,1581,ALlowndes
87,AL,Macon,2010,William Barnes,6218,ALmacon
88,AL,Macon,2010,Richard Shelby,1272,ALmacon
89,AL,Madison,2010,Richard Shelby,73003,ALmadison
90,AL,Madison,2010,William Barnes,34909,ALmadison
91,AL,Marengo,2010,William Barnes,4462,ALmarengo
92,AL,Marengo,2010,Richard Shelby,4359,ALmarengo
93,AL,Marion,2010,Richard Shelby,6608,ALmarion
94,AL,Marion,2010,William Barnes,2172,ALmarion
95,AL,Marshall,2010,Richard Shelby,20836,ALmarshall
96,AL,Marshall,2010,William Barnes,4649,ALmarshall
97,AL,Mobile,2010,Richard Shelby,65958,ALmobile
98,AL,Mobile,2010,William Barnes,44468,ALmobile
99,AL,Monroe,2010,Richard Shelby,4474,ALmonroe
100,AL,Monroe,2010,William Barnes,3052,ALmonroe
101,AL,Montgomery,2010,William Barnes,37924,ALmontgomery
102,AL,Montgomery,2010,Richard Shelby,35586,ALmontgomery
103,AL,Morgan,2010,Richard Shelby,29718,ALmorgan
104,AL,Morgan,2010,William Barnes,9257,ALmorgan
105,AL,Perry,2010,William Barnes,3177,ALperry
106,AL,Perry,2010,Richard Shelby,1265,ALperry
107,AL,Pickens,2010,Richard Shelby,4341,ALpickens
