,year,candidate,state_abbr,votes,votes_state,max_state,%_votes_state,winner
0,2016,Aaron Day,NH,17702,738483,354268,2.4%,0
1,2016,Abhay Patel,LA,1574,1932481,482380,0.1%,0
2,2016,Alex Merced,NY,43856,6799540,4788374,0.6%,0
3,2016,Allen Buckley,GA,159914,3835657,2110737,4.2%,0
4,2016,Ann Kirkpatrick,AZ,839542,2041017,1089324,41.1%,0
5,2016,Arden Wells,LA,1481,1932481,482380,0.1%,0
6,2016,Arn Menconi,CO,31679,2534471,1246357,1.2%,0
7,2016,Basil Dalack,FL,22134,9270422,4822182,0.2%,0
8,2016,Beryl Billiot,LA,19340,1932481,482380,1.0%,0
9,2016,Bill Barron,UT,22406,970511,659769,2.3%,0
10,2016,Bill Bledsoe,SC,37124,2029830,1228844,1.8%,0
11,2016,Bill Hammons,CO,8408,2534471,1246357,0.3%,0
12,2016,Bob Lang,LA,1424,1932481,482380,0.1%,0
13,2016,Breck Craig,AK,2027,251644,111382,0.8%,0
14,2016,Brian Chabot,NH,12988,738483,354268,1.8%,0
15,2016,Brian Schatz,HI,306543,415065,306543,73.9%,1
16,2016,Bruce Nathan,FL,52274,9270422,4822182,0.6%,0
17,2016,Caroline Fayard,LA,240748,1932481,482380,12.5%,0
18,2016,Catherine Cortez Masto,NV,520658,1106020,520658,47.1%,1
19,2016,Charles Aldrich,IA,41609,1533850,923280,2.7%,0
20,2016,Charles Boustany,LA,297744,1932481,482380,15.4%,0
21,2016,Charles Grassley,IA,923280,1533850,923280,60.2%,1
22,2016,Charles Marsala,LA,3683,1932481,482380,0.2%,0
23,2016,Charles Schumer,NY,4788374,6799540,4788374,70.4%,1
24,2016,Chris Van Hollen,MD,1488845,2466499,1488845,60.4%,1
25,2016,Chris Vance,WA,1220755,2986088,1765333,40.9%,0
26,2016,Conner Eldridge,AR,397970,1099546,657856,36.2%,0
27,2016,Cris Ericson,VT,9140,312897,191855,2.9%,0
28,2016,Dan Carter,CT,546489,1567124,986291,34.9%,0
29,2016,Dan Chapin,CO,7471,2534471,1246357,0.3%,0
30,2016,Darryl Glenn,CO,1149326,2534471,1246357,45.3%,0
31,2016,David Duke,LA,58581,1932481,482380,3.0%,0
32,2016,Deborah Ross,NC,2102666,4639177,2371192,45.3%,0
33,2016,Derrick Edwards,LA,51724,1932481,482380,2.7%,0
34,2016,Donald Crawford,LA,25503,1932481,482380,1.3%,0
35,2016,Edward Clifford,PA,230562,5918063,2893833,3.9%,0
36,2016,Eliot Glassheim,ND,57976,341122,267964,17.0%,0
37,2016,Eric Navickas,OR,43905,1831498,1038632,2.4%,0
38,2016,Evan Bayh,IN,1157799,2730165,1423001,42.4%,0
39,2016,Foster Campbell,LA,337682,1932481,482380,17.5%,0
40,2016,Frank Gilbert,AR,43720,1099546,657856,4.0%,0
41,2016,Fred Ryman,MO,25194,2776136,1370240,0.9%,0
42,2016,Gary Landrieu,LA,45520,1932481,482380,2.4%,0
43,2016,Gary Swing,AZ,112151,2041017,1089324,5.5%,0
44,2016,Gregory Taylor,LA,1150,1932481,482380,0.1%,0
45,2016,James Germalic,ND,4661,341122,267964,1.4%,0
46,2016,James Lankford,OK,979728,1446141,979728,67.7%,1
47,2016,Jarrod Williams,NV,6864,1106020,520658,0.6%,0
48,2016,Jason Kander,MO,1283222,2776136,1370240,46.2%,0
49,2016,Jay Williams,SD,104125,369619,265494,28.2%,0
50,2016,Jeffery Russell,CT,16437,1567124,986291,1.0%,0
51,2016,Jerry Moran,KS,716661,1148761,716661,62.4%,1
52,2016,Jerry Sturgill,ID,188104,677091,447342,27.8%,0
53,2016,Jerry Trudell,VT,5403,312897,191855,1.7%,0
54,2016,Jim Barksdale,GA,1565006,3835657,2110737,40.8%,0
55,2016,Jim Gray,KY,813222,1903373,1090151,42.7%,0
56,2016,Jim Hennager,IA,17571,1533850,923280,1.1%,0
57,2016,Jim Lindsay,OR,21690,1831498,1038632,1.2%,0
58,2016,Joe Heck,NV,494427,1106020,520658,44.7%,0
59,2016,Joe Miller,AK,74245,251644,111382,29.5%,0
60,2016,John Boozman,AR,657856,1099546,657856,59.8%,1
61,2016,John Carroll,HI,92620,415065,306543,22.3%,0
62,2016,John Fleming,LA,203959,1932481,482380,10.6%,0
63,2016,John Hoeven,ND,267964,341122,267964,78.6%,1
64,2016,John Kennedy,LA,482380,1932481,482380,25.0%,1
65,2016,John McCain,AZ,1089324,2041017,1089324,53.4%,1
66,2016,John Thune,SD,265494,369619,265494,71.8%,1
67,2016,Johnathan McFarland,MO,30413,2776136,1370240,1.1%,0
68,2016,Johnny Isakson,GA,2110737,3835657,2110737,55.0%,1
69,2016,Jonathan Dine,MO,67067,2776136,1370240,2.4%,0
70,2016,Joseph Cao,LA,21011,1932481,482380,1.1%,0
71,2016,Joseph DeMare,OH,84521,5227520,3048467,1.6%,0
72,2016,Joshua Pellerin,LA,7386,1932481,482380,0.4%,0
73,2016,Joy Allison,HI,9096,415065,306543,2.2%,0
74,2016,Kaitlin Marone,LA,4102,1932481,482380,0.2%,0
75,2016,Kamala Harris,CA,6495907,10414393,6495907,62.4%,1
76,2016,Kathy Szeliga,MD,898902,2466499,1488845,36.4%,0
77,2016,Katie McGinty,PA,2793668,5918063,2893833,47.2%,0
78,2016,Kelly Ayotte,NH,353525,738483,354268,47.9%,0
79,2016,Kenton McMillen,IL,172068,5344495,2908363,3.2%,0
80,2016,Le Roy Gillam,LA,4063,1932481,482380,0.2%,0
81,2016,Lily Williams,CO,88492,2534471,1246357,3.5%,0
82,2016,Lisa Murkowski,AK,111382,251644,111382,44.3%,1
83,2016,Loretta Sanchez,CA,3918486,10414393,6495907,37.6%,0
84,2016,Lucy Brenton,IN,149365,2730165,1423001,5.5%,0
85,2016,Maggie Hassan,NH,354268,738483,354268,48.0%,1
86,2016,Marco Rubio,FL,4822182,9270422,4822182,52.0%,1
87,2016,Margaret Flowers,MD,78752,2466499,1488845,3.2%,0
88,2016,Margaret Stock,AK,34579,251644,111382,13.7%,0
89,2016,Mark Beard,OK,27357,1446141,979728,1.9%,0
90,2016,Mark Callahan,OR,616203,1831498,1038632,33.6%,0
91,2016,Mark Kirk,IL,2150099,5344495,2908363,40.2%,0
92,2016,Michael Bennet,CO,1246357,2534471,1246357,49.2%,1
93,2016,Michael Kokoski,HI,6806,415065,306543,1.6%,0
94,2016,Michael Luick-Thrams,IA,4416,1533850,923280,0.3%,0
95,2016,Mike Crapo,ID,447342,677091,447342,66.1%,1
96,2016,Mike Lee,UT,659769,970511,659769,68.0%,1
97,2016,Mike Workman,OK,355389,1446141,979728,24.6%,0
98,2016,Misty Snow,UT,265674,970511,659769,27.4%,0
99,2016,None of these candidates,NV,42085,1106020,520658,3.8%,0
100,2016,Pat Toomey,PA,2893833,5918063,2893833,48.9%,1
101,2016,Patrick Leahy,VT,191855,312897,191855,61.3%,1
102,2016,Patrick Murphy,FL,4105251,9270422,4822182,44.3%,0
103,2016,Patrick Wiesner,KS,368672,1148761,716661,32.1%,0
104,2016,Patty Judge,IA,546974,1533850,923280,35.7%,0
105,2016,Patty Murray,WA,1765333,2986088,1765333,59.1%,1
106,2016,Paul Fiorino,CO,2738,2534471,1246357,0.1%,0
107,2016,Paul Stanton,FL,196188,9270422,4822182,2.1%,0
108,2016,Pete Diamondstone,VT,3233,312897,191855,1.0%,0
109,2016,Peter Williams,LA,6844,1932481,482380,0.4%,0
110,2016,Phil Anderson,WI,87392,2944484,1478170,3.0%,0
