,state_abbr,year,candidate,party,votes_total
1,AL,2010,Richard Shelby,REP,968181.0
2,AL,2010,William Barnes,DEM,515619.0
3,AK,2010,Lisa Murkowski,REP,101091.0
4,AK,2010,Joe Miller,REP,90860.0
5,AK,2010,Scott McAdams,DEM,60045.0
6,AK,2010,Haase,LIB,1459.0
7,AK,2010,Tim Carter,NAF,927.0
8,AK,2010,Ted Gianoutsos,NAF,458.0
9,AK,2010,Sid Hill,W,13.0
10,AZ,2010,John McCain,REP,1005615.0
11,AZ,2010,Rodney Glassman,DEM,592011.0
12,AZ,2010,David Nolan,LIB,80097.0
13,AZ,2010,Jerry Joslyn,GRE,24603.0
14,AZ,2010,Ian Gilyeat,W,5938.0
15,AZ,2010,Santos Chavez,W,39.0
16,AZ,2010,Sydney Dudikoff,W,14.0
17,AZ,2010,Ray Caplette,W,7.0
18,AR,2010,John Boozman,REP,451618.0
19,AR,2010,Blanche Lincoln,DEM,288156.0
20,AR,2010,Trevor Drown,IND,25234.0
21,AR,2010,John Gray,GRE,14430.0
22,AR,2010,Stephan Hercher,W,143.0
23,CA,2010,Barbara Boxer,DEM,5218137.0
24,CA,2010,Carly Fiorina,REP,4217386.0
25,CA,2010,Gail Lightfoot,LIB,175235.0
26,CA,2010,Marsha Feinland,PAF,135088.0
27,CA,2010,Duane Roberts,GRE,128512.0
28,CA,2010,Edward Noonan,AIP,125435.0
29,CA,2010,James Harris,W,41.0
30,CA,2010,Connor Vlakancic,W,11.0
31,CA,2010,Jerry Carroll,W,10.0
32,CA,2010,Hans Kugler,W,5.0
33,CO,2010,Michael Bennet,DEM,854685.0
34,CO,2010,Ken Buck,REP,824789.0
35,CO,2010,Bob Kinsey,GRE,38884.0
36,CO,2010,Maclyn Stringer,LIB,22646.0
37,CO,2010,Jason Napolitano,UN,19450.0
38,CO,2010,Charley Miller,UN,11351.0
39,CO,2010,J. Moromisato,UN,5780.0
40,CO,2010,Robert Rank,W,52.0
41,CO,2010,Michele Newman,W,20.0
42,CO,2010,Bruce Lohmiller,W,11.0
43,CT,2010,Richard Blumenthal,DEM,636040.0
44,CT,2010,Linda McMahon,REP,498341.0
45,CT,2010,Warren Mosler,IND,11275.0
46,CT,2010,John Mertens,CFL,6735.0
47,CT,2010,Brian Hill,W,559.0
48,CT,2010,Jeff Russell,W,45.0
49,CT,2010,Todd Vachon,W,45.0
50,CT,2010,Carl Vassar,W,31.0
51,CT,2010,Jay Giles,W,17.0
52,CT,2010,John Traceski,W,15.0
53,CT,2010,Matthew Coleman,W,7.0
54,CT,2010,Dave Olszta,W,5.0
55,FL,2010,Marco Rubio,REP,2645743.0
56,FL,2010,Charlie Crist,NPA,1607549.0
57,FL,2010,Kendrick Meek,DEM,1092936.0
58,FL,2010,Alexander Snitker,LIB,24850.0
59,FL,2010,Sue Askeland,NPA,15340.0
60,FL,2010,Rick Tyler,NPA,7397.0
61,FL,2010,Bernie DeCastro,CPF,4792.0
62,FL,2010,Lewis Armstrong,NPA,4443.0
63,FL,2010,Bobbie Bean,NPA,4301.0
64,FL,2010,Bruce Riggs,NPA,3647.0
65,FL,2010,Piotr Blass,W,47.0
66,FL,2010,Richard Lock,W,18.0
67,FL,2010,Belinda Quarterman-Noah,W,18.0
68,FL,2010,George Drake,W,13.0
69,FL,2010,Robert Monroe,W,6.0
70,FL,2010,Howard Knepper,W,4.0
71,FL,2010,Carol Ann LaRosa,W,2.0
72,GA,2010,Johnny Isakson,REP,1489904.0
73,GA,2010,Michael Thurmond,DEM,996516.0
74,GA,2010,Chuck Donovan,LIB,68750.0
75,GA,2010,Steve Davis,W,52.0
76,GA,2010,Raymond Beckworth,W,24.0
77,GA,2010,Brian Brown,W,12.0
78,HI,2010,Daniel Inouye,DEM,277228.0
79,HI,2010,Cam Cavasso,REP,79939.0
80,HI,2010,Jim Brewer,GRE,7762.0
81,HI,2010,Lloyd Mallan,LIB,2957.0
82,HI,2010,Jeff Jarrett,N,2697.0
83,ID,2010,Mike Crapo,REP,319953.0
84,ID,2010,P. Sullivan,DEM,112057.0
85,ID,2010,Randy Bergquist,CON,17429.0
86,ID,2010,Frederick Reinisch,W,91.0
87,IL,2010,Mark Kirk,REP,1778698.0
88,IL,2010,Alexander Giannoulias,DEM,1719478.0
89,IL,2010,LeAlan Jones,GRE,117914.0
90,IL,2010,Mike Labno,LIB,87247.0
91,IL,2010,Robert Zadek,W,561.0
92,IL,2010,Will Boyd,W,468.0
93,IL,2010,Corey Dabney,W,33.0
94,IL,2010,Susanne Atanus,W,19.0
95,IL,2010,Shon-Tiyon Horton,W,16.0
96,IL,2010,Avner Nagar,W,15.0
97,IL,2010,Stan Jagla,W,12.0
98,IL,2010,Darren Raichart,W,9.0
99,IL,2010,Lowell Seida,W,3.0
100,IN,2010,Dan Coats,REP,952116.0
101,IN,2010,Brad Ellsworth,DEM,697775.0
102,IN,2010,Rebecca Sink-Burris,LIB,94330.0
103,IN,2010,Jim Miller,W,161.0
104,IN,2010,Jack Rooney,W,99.0
105,IA,2010,Chuck Grassley,REP,718215.0
106,IA,2010,Roxanne Conlin,DEM,371686.0
107,IA,2010,John Heiderscheit,LIB,25290.0
108,KS,2010,Jerry  Moran,REP,587175.0
109,KS,2010,Lisa  Johnston,DEM,220971.0
110,KS,2010,Michael Wm.  Dann,LIB,17922.0
111,KS,2010,Joseph (Joe) Bellis,REF,11624.0
112,KY,2010,Rand Paul,REP,755706.0
113,KY,2010,Jack Conway,DEM,600052.0
114,KY,2010,Billy Wilson,W,338.0
115,LA,2010,David Vitter,REP,715415.0
116,LA,2010,Charlie Melancon,DEM,476572.0
117,LA,2010,Randall Hayes,LIB,13957.0
118,LA,2010,Michael Brown,NPA,9973.0
119,LA,2010,Michael Spears,OTH,9190.0
120,LA,2010,Ernest Wooton,OTH,8167.0
121,LA,2010,R.A. Galan,NPA,7474.0
122,LA,2010,William McShan,REF,5879.0
123,LA,2010,William Lang,OTH,5734.0
124,LA,2010,Milton Gordon,NPA,4810.0
125,LA,2010,Thomas LaFargue,OTH,4043.0
126,LA,2010,Sam Melton,NPA,3780.0
127,MD,2010,Barbara Mikulski,DEM,1140531.0
128,MD,2010,Eric Wargotz,REP,655666.0
129,MD,2010,Kenniss Henry,GRE,20717.0
130,MD,2010,Richard Shawver,CON,14746.0
131,MD,2010,Claud Asbury,W,204.0
132,MD,2010,Donald Kaplan,W,110.0
133,MD,2010,James Lynch,W,84.0
134,MD,2010,Lih Young,W,80.0
135,MD,2010,Denise Whittington,W,56.0
136,MD,2010,Robert Evans,W,14.0
137,MD,2010,Mary Podlesak,W,6.0
138,MO,2010,Roy Blunt,REP,1054160.0
139,MO,2010,Robin Carnahan,DEM,789736.0
140,MO,2010,Jonathan Dine,LIB,58663.0
141,MO,2010,Jerry Beck,CON,41309.0
142,MO,2010,Dale Hoinoski,W,14.0
143,MO,2010,Frazier Miller,W,7.0
144,MO,2010,Jeff Wirick,W,4.0
145,MO,2010,Charlie Bailey,W,3.0
146,MO,2010,Richie Wolfe,W,2.0
147,MO,2010,Mark Memoly,W,1.0
148,NV,2010,Harry Reid,DEM,362785.0
149,NV,2010,Sharron Angle,REP,321361.0
150,NV,2010,Scott Ashjian,TPN,5811.0
151,NV,2010,Michael Haines,IND,4261.0
152,NV,2010,Tim Fasano,IAP,3185.0
153,NV,2010,Jesse Holland,IND,3175.0
154,NV,2010,Jeffrey Reeves,IND,2510.0
155,NV,2010,Wil Stand,IND,2119.0
156,NH,2010,Kelly Ayotte,REP,273218.0
157,NH,2010,Paul Hodes,DEM,167545.0
158,NH,2010,Chris Booth,IND,9194.0
159,NH,2010,Ken Blevens,LIB,4753.0
160,NY,2010,Charles Schumer,DEM,3047880.0
161,NY,2010,Jay Townsend,REP,1480423.0
162,NY,2010,Colia Clark,GRE,42341.0
163,NY,2010,Randy Credico,LIB,24871.0
164,NC,2010,Richard Burr,REP,1458046.0
165,NC,2010,Elaine Marshall,DEM,1145074.0
166,NC,2010,Michael Beitler,LIB,55687.0
167,NC,2010,Jim Nolan,W,64.0
168,NC,2010,Michael Genay,W,10.0
169,ND,2010,John Hoeven,REP,181689.0
170,ND,2010,Tracy Potter,DNL,52955.0
171,ND,2010,Keith Hanson,LIB,3890.0
172,OH,2010,Rob Portman,REP,2168742.0
173,OH,2010,Lee Fisher,DEM,1503297.0
174,OH,2010,Eric Deaton,CON,65856.0
175,OH,2010,Michael Pryce,IND,50101.0
176,OH,2010,Daniel LaBotz,SUS,26454.0
177,OH,2010,Arthur Sullivan,W,648.0
178,OK,2010,Tom Coburn,REP,718482.0
179,OK,2010,Jim Rogers,DEM,265814.0
180,OK,2010,Stephen Wallace,IND,25048.0
181,OK,2010,Ronald Dwyer,IND,7807.0
182,OR,2010,Ron Wyden,DEM,825507.0
183,OR,2010,Jim Huffman,REP,582227.0
184,OR,2010,Bruce Cronk,WF,18940.0
185,OR,2010,Tom Stutzman,PRO,14466.0
186,PA,2010,Pat Toomey,REP,2028945.0
187,PA,2010,Joe Sestak,DEM,1948716.0
188,SC,2010,Jim DeMint,REP,810771.0
189,SC,2010,Alvin Greene,DEM,364598.0
