,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation,win_prob_candidate
1,Alex Merced,Alex_Merced,2016,http://www.ontheissues.org/Senate/Alex_Merced.htm,43856.0,0,0.006,-5.0,5.0,-5.0,-5.0,5.0,2.5,5.0,5.0,-5.0,5.0,5.0,-5.0,5.0,-2.5,-2.5,-5.0,-5.0,5.0,-5.0,5.0,0.0,-37.5,40.0,L,-1.51777209331,13.9109316327,6,NY,New York,0.0319,0.0259,0,1,0,,0.326157009177,,
5,Allen Buckley,Allen_Buckley,2016,http://www.ontheissues.org/Senate/Allen_Buckley.htm,159914.0,0,0.042,-2.5,5.0,-2.5,0.0,5.0,0.0,-2.5,0.0,5.0,5.0,2.5,5.0,-2.5,2.5,-5.0,0.0,2.5,-5.0,-5.0,5.0,0.0,-2.5,15.0,L,-1.84841416668,5.01879262817,6,GA,Georgia,0.0332,-0.0088,0,1,0,,0.637326179262,,
12,Ann Kirkpatrick,Ann_Kirkpatrick,2016,http://www.ontheissues.org/Senate/Ann_Kirkpatrick.htm,839542.0,0,0.411,-5.0,-5.0,-5.0,2.5,-2.5,-5.0,-2.5,-2.5,2.5,5.0,-5.0,5.0,2.5,-5.0,5.0,-5.0,-2.5,2.5,-5.0,-5.0,0.0,-10.0,-20.0,D,8.57681651711,1.55858669625,1,AZ,Arizona,0.4745,0.0635,0,1,0,1.13798785803,0.936330456178,1.21536990549,0.234725248981
30,Brian Schatz,Brian_Schatz,2016,http://www.ontheissues.org/Senate/Brian_Schatz.htm,306543.0,1,0.739,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-2.5,-5.0,2.5,-5.0,5.0,-2.5,2.5,5.0,-2.5,-5.0,-2.5,-5.0,2.5,-2.5,1.0,-22.5,-12.5,D,10.2377800865,-4.62365260656,1,HI,Hawaii,0.5978,-0.1412,1,1,1,1.42995449174,4.35890644962,0.328053494211,0.601586461537
35,Catherine Cortez Masto,Catherine_Cortez_Masto,2016,http://www.ontheissues.org/Senate/Catherine_Cortez_Masto.htm,520658.0,1,0.471,-5.0,-5.0,2.5,0.0,-5.0,-5.0,-5.0,-5.0,2.5,-2.5,-2.5,-5.0,-5.0,-2.5,0.0,-5.0,2.5,-5.0,-2.5,-2.5,0.0,-15.0,-40.0,D,13.8471911593,-1.13262488559,7,NV,Nevada,0.4827,0.0117,1,1,1,1.43677347254,2.25695647974,0.636597774677,0.594153494797
36,Charles Boustany,Charles_Boustany,2016,http://www.ontheissues.org/Senate/Charles_Boustany.htm,297744.0,0,0.154,5.0,2.5,5.0,2.5,5.0,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,5.0,2.5,-2.5,5.0,5.0,5.0,2.5,0.0,30.0,42.5,R,-16.1979757484,1.32182975974,3,LA,Louisiana,0.2725,0.1185,0,1,1,,1.31113448582,,
39,Charles Schumer,Charles_Schumer,2016,http://www.ontheissues.org/Senate/Charles_Schumer.htm,4788374.0,1,0.704,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-5.0,-2.5,-5.0,2.5,-5.0,2.5,-5.0,2.5,-5.0,1.0,-15.0,-47.5,D,17.3119984589,-4.55361108883,7,NY,New York,0.7178,0.0138,1,1,0,0.141839910759,0.326157009177,0.434882301369,0.984818290447
45,Chris Van Hollen,Chris_Van_Hollen,2016,http://www.ontheissues.org/Senate/Chris_Van_Hollen.htm,1488845.0,1,0.604,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,0.0,-5.0,2.5,-5.0,-5.0,-5.0,0.0,-35.0,-40.0,D,18.7131416758,1.89611484963,2,MD,Maryland,0.5602,-0.0438,1,1,0,1.17761388306,1.06139074183,1.10950080555,0.749965122391
46,Chris Vance,Chris_Vance,2016,http://www.ontheissues.org/Senate/Chris_Vance.htm,1220755.0,0,0.409,0.0,0.0,-2.5,0.0,2.5,-2.5,5.0,-2.5,0.0,0.0,0.0,-5.0,5.0,5.0,5.0,0.0,2.5,2.5,0.0,2.5,0.0,-2.5,20.0,R,-2.16080965413,-0.67610638352,4,WA,Washington,0.4764,0.0674,0,1,1,1.33146988267,0.865495925243,1.53838954504,0.323737809275
48,Charles Grassley,Chuck_Grassley,2016,http://www.ontheissues.org/Senate/Chuck_Grassley.htm,923280.0,1,0.602,5.0,5.0,5.0,5.0,2.5,2.5,5.0,-2.5,2.5,5.0,5.0,5.0,5.0,5.0,2.5,2.5,5.0,2.5,5.0,2.5,1.0,35.0,40.0,R,-15.1155851147,-3.68159968822,0,IA,Iowa,0.6593,0.0573,1,1,0,0.955136041324,1.9355743679,0.493463881918,0.825033066994
