,full_name,first_name,last_name,party,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
0,Richard_Shelby,Richard,Shelby,R,AL,5.0,5.0,5.0,2.5,2.5,2.5,5.0,-2.5,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,5.0,2.5,35.0,35.0,R,-14.8155870482,-2.36112697252,0
1,Lisa_Murkowski,Lisa,Murkowski,I,AK,2.5,-2.5,5.0,5.0,-2.5,2.5,2.5,-2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,27.5,27.5,I,-10.8204160509,-6.3511462998,5
2,Dan_Sullivan,Dan,Sullivan,R,AK,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,2.5,2.5,5.0,2.5,5.0,5.0,0.0,2.5,37.5,22.5,R,-11.9869361115,1.32582491477,5
3,John_McCain,John,McCain,R,AZ,2.5,-2.5,-2.5,2.5,2.5,5.0,5.0,-2.5,2.5,5.0,2.5,-2.5,5.0,2.5,2.5,-5.0,5.0,-2.5,5.0,2.5,7.5,25.0,R,-5.43174048138,-5.44131936915,5
4,Jeff_Flake,Jeff,Flake,R,AZ,5.0,2.5,2.5,2.5,5.0,2.5,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,-2.5,-2.5,5.0,5.0,-2.5,5.0,17.5,45.0,R,-14.0972107655,5.01771865226,3
5,John_Boozman,John,Boozman,R,AR,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,2.5,37.5,45.0,R,-17.1993487881,-2.73200230324,0
6,Tom_Cotton,Tom,Cotton,R,AR,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,0.0,2.5,5.0,0.0,2.5,5.0,0.0,2.5,30.0,37.5,R,-15.5669559346,5.76786381509,3
7,Dianne_Feinstein,Dianne,Feinstein,D,CA,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-2.5,-5.0,2.5,-5.0,-2.5,-5.0,2.5,-2.5,-2.5,-2.5,-2.5,-5.0,2.5,-5.0,-25.0,-30.0,D,15.4321677202,-3.37063442408,7
8,Michael_Bennet,Michael,Bennet,D,CO,-5.0,-5.0,-5.0,0.0,-2.5,-5.0,-2.5,-2.5,0.0,-2.5,-5.0,-5.0,2.5,-5.0,5.0,-5.0,2.5,-2.5,5.0,-2.5,-10.0,-30.0,D,12.4581240358,-5.71162734844,1
9,Cory_Gardner,Cory,Gardner,R,CO,5.0,-2.5,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,2.5,0.0,5.0,5.0,-5.0,2.5,5.0,-2.5,5.0,22.5,37.5,R,-14.5108305217,5.3663396735,3
10,Richard_Blumenthal,Richard,Blumenthal,D,CT,-5.0,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,2.5,-5.0,-5.0,-2.5,-2.5,-5.0,5.0,-5.0,-2.5,-5.0,0.0,-5.0,-17.5,-45.0,D,16.6661393383,-2.19005667876,7
11,Chris_Murphy,Chris,Murphy,D,CT,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-2.5,-5.0,-32.5,-47.5,D,19.1531742014,2.507725719,2
12,Tom_Carper,Tom,Carper,D,DE,-2.5,-2.5,-5.0,-5.0,-2.5,-2.5,-2.5,-2.5,2.5,-5.0,-2.5,-2.5,2.5,-2.5,-5.0,-5.0,2.5,-2.5,2.5,-2.5,-20.0,-22.5,D,12.128723095,-2.18440423512,1
13,Chris_Coons,Chris,Coons,D,DE,-2.5,-5.0,-5.0,5.0,-2.5,-5.0,-2.5,-2.5,2.5,-5.0,-5.0,-2.5,-2.5,-5.0,-2.5,-5.0,2.5,-5.0,5.0,-5.0,-5.0,-42.5,D,13.8600278213,-5.51904773617,1
14,Bill_Nelson,Bill,Nelson,D,FL,-2.5,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-2.5,5.0,-2.5,-2.5,-5.0,2.5,-5.0,0.0,-5.0,-25.0,-32.5,D,15.2267567522,-2.24759194673,7
15,Marco_Rubio,Marco,Rubio,R,FL,5.0,2.5,5.0,5.0,2.5,-2.5,5.0,5.0,2.5,5.0,5.0,2.5,2.5,2.5,5.0,-2.5,5.0,2.5,5.0,5.0,37.5,30.0,R,-13.8305283109,-1.81252378126,0
16,Johnny_Isakson,Johnny,Isakson,R,GA,5.0,0.0,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,0.0,5.0,5.0,2.5,2.5,37.5,40.0,R,-16.100818655,-1.88051114695,0
17,David_Perdue,David,Perdue,R,GA,5.0,5.0,5.0,5.0,2.5,2.5,2.5,5.0,0.0,5.0,2.5,5.0,-2.5,2.5,5.0,2.5,0.0,5.0,-2.5,5.0,30.0,30.0,R,-13.7069828791,7.47965630165,6
18,Brian_Schatz,Brian,Schatz,D,HI,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-2.5,-5.0,2.5,-5.0,5.0,-2.5,2.5,5.0,-2.5,-5.0,-2.5,-5.0,2.5,-2.5,-22.5,-12.5,D,10.2377800865,-4.62365260656,1
19,Brian_Schatz,Brian,Schatz,D,HI,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-2.5,-5.0,2.5,-5.0,5.0,-2.5,2.5,5.0,-2.5,-5.0,-2.5,-5.0,2.5,-2.5,-22.5,-12.5,D,10.2377800865,-4.62365260656,1
20,Mazie_Hirono,Mazie,Hirono,D,HI,-5.0,-5.0,-5.0,2.5,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,0.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-30.0,-47.5,D,18.8952907004,2.16398512899,2
21,Michael_Crapo,Michael,Crapo,R,ID,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,-2.5,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,2.5,40.0,35.0,R,-15.2852885523,-3.59627110701,0
22,Jim_Risch,Jim,Risch,R,ID,5.0,5.0,5.0,5.0,5.0,2.5,5.0,2.5,2.5,5.0,5.0,2.5,0.0,5.0,5.0,2.5,2.5,2.5,5.0,2.5,37.5,37.5,R,-15.6175442134,-0.88293953781,0
23,Richard_Durbin,Richard,Durbin,D,IL,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-5.0,-2.5,-5.0,-35.0,-42.5,D,18.859653854,4.09532241204,2
