,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
0,Lisa_Murkowski,Lisa,Murkowski,R,AK,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,3,-3,5,5,-3,2,2,-2,3,5,5,3,5,5,5,-2,5,5,5,2,30,25
1,Ray_Metcalfe,Ray,Metcalfe,D,AK,http://www.ontheissues.org/Senate/Ray_Metcalfe.htm,-5,-5,0,0,-5,0,-3,-5,0,5,-5,0,-5,0,0,-2,0,-5,-5,0,-17,-23
2,Joe_Miller,Joe,Miller,L,AK,http://www.ontheissues.org/Senate/Joe_Miller.htm,5,5,5,5,5,5,5,5,3,5,5,5,2,0,3,3,5,5,3,5,42,42
3,Richard_Shelby,Richard,Shelby,R,AL,http://www.ontheissues.org/Senate/Richard_Shelby.htm,5,5,5,3,2,2,5,-2,3,5,5,5,-3,5,5,3,5,5,5,2,37,33
4,Ron_Crumpton,Ron,Crumpton,D,AL,http://www.ontheissues.org/Senate/Ron_Crumpton.htm,-2,-5,-5,-5,-5,-5,-5,-5,-5,5,-3,-5,-5,2,-2,-5,0,-5,-5,-5,-39,-31
5,John_Boozman,John,Boozman,R,AR,http://www.ontheissues.org/Senate/John_Boozman.htm,5,2,5,5,5,5,5,3,5,5,5,5,5,5,3,-2,5,5,5,2,39,44
6,Conner_Eldridge,Conner,Eldridge,D,AR,http://www.ontheissues.org/Senate/Conner_Eldridge.htm,-2,-5,-2,0,-3,-5,-3,3,3,5,2,-2,-5,5,5,-2,3,0,3,2,9,-7
7,Frank_Gilbert,Frank,Gilbert,L,AR,http://www.ontheissues.org/Senate/Frank_Gilbert.htm,3,5,-5,3,5,2,5,-2,-2,5,5,-2,2,5,-2,-2,-5,2,-2,2,-16,38
8,John_McCain,John,McCain,R,AZ,http://www.ontheissues.org/Senate/John_McCain.htm,3,-3,-2,3,2,5,5,-2,3,5,2,-2,5,2,3,-5,5,-3,5,2,11,22
9,Ann_Kirkpatrick,Ann,Kirkpatrick,D,AZ,http://www.ontheissues.org/Senate/Ann_Kirkpatrick.htm,-5,-5,-5,3,-3,-5,-3,-2,3,5,-5,5,2,-5,5,-5,-2,2,-5,-5,-8,-22
10,J_L__Mealer,J_L,Mealer,I,AZ,http://www.ontheissues.org/Senate/J_L__Mealer.htm,5,2,-2,0,2,2,2,-2,0,5,2,-2,-3,5,3,-5,-2,2,5,2,0,21
11,Kamala_Harris,Kamala,Harris,D,CA,http://www.ontheissues.org/Senate/Kamala_Harris.htm,-5,-3,-5,0,-3,0,0,-2,3,-5,0,-5,0,-5,0,0,-2,-5,-2,-5,-18,-26
12,Loretta_Sanchez,Loretta,Sanchez,D,CA,http://www.ontheissues.org/Senate/Loretta_Sanchez.htm,-5,-5,-5,-2,-5,-3,-5,-5,-2,-3,-3,-5,-3,-5,3,-2,-2,-5,-5,-3,-30,-40
13,Michael_Bennet,Michael,Bennet,D,CO,http://www.ontheissues.org/Senate/Michael_Bennet.htm,-5,-5,-5,0,-3,-5,-3,-2,0,-3,-5,-5,2,-5,5,-5,3,-3,5,-3,-9,-33
14,Darryl_Glenn,Darryl,Glenn,R,CO,http://www.ontheissues.org/Senate/Darryl_Glenn.htm,5,0,5,5,2,2,5,-2,5,5,5,5,0,5,5,-2,5,5,-2,5,29,34
15,Richard_Blumenthal,Richard,Blumenthal,D,CT,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,-5,-5,-2,-2,-5,-5,-3,-5,3,-5,-5,-2,-3,-5,5,-5,-2,-5,0,-5,-15,-46
16,Dan_Carter,Dan,Carter,R,CT,http://www.ontheissues.org/Senate/Dan_Carter.htm,0,0,0,0,5,0,0,0,0,5,5,5,-5,5,5,-2,5,0,5,5,18,20
17,Marco_Rubio,Marco,Rubio,R,FL,http://www.ontheissues.org/Senate/Marco_Rubio.htm,5,2,5,5,2,-3,5,5,3,5,5,3,2,2,5,-2,5,2,5,5,39,27
18,Patrick_Murphy,Patrick,Murphy,D,FL,http://www.ontheissues.org/Senate/Patrick_Murphy.htm,-5,-5,-5,0,-5,-3,-5,-5,3,-3,-5,-5,2,-3,5,-5,0,-5,-2,-3,-19,-35
19,Johnny_Isakson,Johnny,Isakson,R,GA,http://www.ontheissues.org/Senate/Johnny_Isakson.htm,5,0,5,5,2,5,5,3,5,5,5,5,5,5,3,0,5,5,3,2,39,39
20,Jim_Barksdale,Jim,Barksdale,D,GA,http://www.ontheissues.org/Senate/Jim_Barksdale.htm,-2,-5,0,-2,-5,-5,-5,0,0,5,0,-5,-5,-5,5,-5,-5,-5,0,0,-14,-30
21,Allen_Buckley,Allen,Buckley,L,GA,http://www.ontheissues.org/Senate/Allen_Buckley.htm,-2,5,-2,0,5,0,-3,0,5,5,2,5,-3,2,-5,0,3,-5,-5,5,-1,13
22,Brian_Schatz,Brian,Schatz,D,HI,http://www.ontheissues.org/Senate/Brian_Schatz.htm,-5,-5,-5,0,0,-5,-3,-5,3,-5,5,-2,2,5,-2,-5,-2,-5,3,-3,-20,-14
23,John_Carroll,John,Carroll,R,HI,http://www.ontheissues.org/Senate/John_Carroll.htm,5,0,-2,0,2,5,-3,-5,-5,0,5,3,5,-3,5,5,3,5,0,-3,9,13
24,Chuck_Grassley,Chuck,Grassley,R,IA,http://www.ontheissues.org/Senate/Chuck_Grassley.htm,5,5,5,5,2,2,5,-2,3,5,5,5,5,5,3,3,5,2,5,2,37,38
25,Patty_Judge,Patty,Judge,D,IA,http://www.ontheissues.org/Senate/Patty_Judge.htm,-5,-5,-5,0,-5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-2,-2,-2,-5,-2,-5,-33,-48
26,Michael_Crapo,Michael,Crapo,R,ID,http://www.ontheissues.org/Senate/Michael_Crapo.htm,5,-3,5,5,2,5,5,-2,5,5,5,5,2,5,5,5,5,5,3,2,41,33
27,Jerry_Sturgill,Jerry,Sturgill,D,ID,http://www.ontheissues.org/Senate/Jerry_Sturgill.htm,0,0,0,0,0,0,0,-5,0,2,0,0,2,0,0,-2,0,-3,0,2,-7,3
28,Mark_Kirk,Mark,Kirk,R,IL,http://www.ontheissues.org/Senate/Mark_Kirk.htm,-5,-3,-5,3,2,2,2,-5,3,-5,5,0,2,5,3,-5,3,-3,3,2,-5,9
29,Tammy_Duckworth,Tammy,Duckworth,D,IL,http://www.ontheissues.org/Senate/Tammy_Duckworth.htm,-5,-5,-5,0,-5,-5,-5,-5,3,-5,-5,-5,5,0,-2,-5,-5,-3,0,-3,-29,-31
30,Evan_Bayh,Evan,Bayh,D,IN,http://www.ontheissues.org/Senate/Evan_Bayh.htm,-2,-5,-5,3,-5,0,-5,-5,-2,-3,-5,-2,2,-3,3,-5,3,-3,-2,-5,-14,-32
31,Todd_Young,Todd,Young,R,IN,http://www.ontheissues.org/Senate/Todd_Young.htm,5,-3,0,3,5,5,5,3,0,5,5,5,0,-3,5,-5,5,5,-2,5,19,29
32,Jerry_Moran,Jerry,Moran,R,KS,http://www.ontheissues.org/Senate/Jerry_Moran.htm,5,-3,5,5,2,5,2,3,3,5,5,3,5,5,3,-2,5,5,5,2,35,33
