,full_name,first_name,last_name,party,state,url,year,next_senate_year,reelection_year
0,Richard_Shelby,Richard,Shelby,R,AL,http://www.ontheissues.org/Senate/Richard_Shelby.htm,2016,2018,2022
1,Jeff_Sessions,Jeff,Sessions,R,AL,http://www.ontheissues.org/Senate/Jeff_Sessions.htm,2016,2018,2022
2,Lisa_Murkowski,Lisa,Murkowski,I,AK,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,2016,2018,2022
3,Dan_Sullivan,Dan,Sullivan,R,AK,http://www.ontheissues.org/Senate/Dan_Sullivan.htm,2016,2018,2022
4,John_McCain,John,McCain,R,AZ,http://www.ontheissues.org/Senate/John_McCain.htm,2016,2018,2022
5,Jeff_Flake,Jeff,Flake,R,AZ,http://www.ontheissues.org/Senate/Jeff_Flake.htm,2016,2018,2022
6,John_Boozman,John,Boozman,R,AR,http://www.ontheissues.org/Senate/John_Boozman.htm,2016,2018,2022
7,Tom_Cotton,Tom,Cotton,R,AR,http://www.ontheissues.org/Senate/Tom_Cotton.htm,2016,2018,2022
8,Dianne_Feinstein,Dianne,Feinstein,D,CA,http://www.ontheissues.org/Senate/Dianne_Feinstein.htm,2016,2018,2022
9,Barbara_Boxer,Barbara,Boxer,D,CA,http://www.ontheissues.org/Senate/Barbara_Boxer.htm,2016,2018,2022
10,Michael_Bennet,Michael,Bennet,D,CO,http://www.ontheissues.org/Senate/Michael_Bennet.htm,2016,2018,2022
11,Cory_Gardner,Cory,Gardner,R,CO,http://www.ontheissues.org/Senate/Cory_Gardner.htm,2016,2018,2022
12,Richard_Blumenthal,Richard,Blumenthal,D,CT,http://www.ontheissues.org/Senate/Richard_Blumenthal.htm,2016,2018,2022
13,Chris_Murphy,Chris,Murphy,D,CT,http://www.ontheissues.org/Senate/Chris_Murphy.htm,2016,2018,2022
14,Tom_Carper,Tom,Carper,D,DE,http://www.ontheissues.org/Senate/Tom_Carper.htm,2016,2018,2022
15,Chris_Coons,Chris,Coons,D,DE,http://www.ontheissues.org/Senate/Chris_Coons.htm,2016,2018,2022
16,Bill_Nelson,Bill,Nelson,D,FL,http://www.ontheissues.org/Senate/Bill_Nelson.htm,2016,2018,2022
17,Marco_Rubio,Marco,Rubio,R,FL,http://www.ontheissues.org/Senate/Marco_Rubio.htm,2016,2018,2022
