,topic_num,topic_desc,topic_cat
0,1,Abortion is a woman's unrestricted right,Social
1,2,Legally require hiring women & minorities,Economic
2,3,Comfortable with same-sex marriage,Social
3,4,Keep God in the public sphere,Social
4,5,Expand ObamaCare,Economic
5,6,Privatize Social Security,Economic
6,7,Vouchers for school choice,Economic
7,8,Society bears cost of pollution,Social
8,9,Stricter punishment reduces crime,Social
9,10,Absolute right to gun ownership,Economic
10,11,Higher taxes on the wealthy,Economic
11,12,Pathway to citizenship for illegal aliens,Social
12,13,Support & expand free trade,Economic
13,14,Support American Exceptionalism,Economic
14,15,Expand the military,Social
15,16,Make voter registration easier,Social
16,17,Avoid foreign entanglements,Social
17,18,Prioritize green energy,Economic
18,19,Marijuana is a gateway drug,Social
19,20,Stimulus better than market-led recovery,Economic
