,year,candidate,state_abbr,votes,votes_state,max_state,%_votes_state,winner
0,2010,Alexander Giannoulias,IL,1719478,3703901,1778698,46.4%,0
1,2010,Alvin Greene,SC,364598,1318794,810771,27.6%,0
2,2010,Aurora,SD,,0,0,,1
3,2010,Barbara Boxer,CA,5218441,10000093,5218441,52.2%,1
4,2010,Barbara Mikulski,MD,1140531,1833304,1140531,62.2%,1
5,2010,Beadle,SD,,0,0,,1
6,2010,Bennett,SD,,0,0,,1
7,2010,Billy Wilson,KY,1214,1356468,755411,0.1%,0
8,2010,Blanche Lincoln,AR,288156,779957,451618,36.9%,0
9,2010,Bon Homme,SD,,0,0,,1
10,2010,Brad Ellsworth,IN,697775,1744221,952116,40.0%,0
11,2010,Brookings,SD,,0,0,,1
12,2010,Brown,SD,,0,0,,1
13,2010,Brule,SD,,0,0,,1
14,2010,Buffalo,SD,,0,0,,1
15,2010,Butte,SD,,0,0,,1
16,2010,Cam Cavasso,HI,79924,370506,277167,21.6%,0
17,2010,Campbell,SD,,0,0,,1
18,2010,Carly Fiorina,CA,4217366,10000093,5218441,42.2%,0
19,2010,Charles Grassley,IA,718215,1116063,718215,64.4%,1
20,2010,Charles Mix,SD,,0,0,,1
21,2010,Charles Schumer,NY,3047775,4596589,3047775,66.3%,1
22,2010,Charley Miller,CO,92102,1766423,851590,5.2%,0
23,2010,Charlie Crist,FL,1637299,5375978,2645743,30.5%,0
24,2010,Charlie Melancon,LA,476572,1219990,715415,39.1%,0
25,2010,Chris Booth,NH,14386,455149,273218,3.2%,0
26,2010,Chuck Donovan,GA,68750,2555170,1489904,2.7%,0
27,2010,Clark,SD,,0,0,,1
28,2010,Clay,SD,,0,0,,1
29,2010,Codington,SD,,0,0,,1
30,2010,Corson,SD,,0,0,,1
31,2010,Custer,SD,,0,0,,1
32,2010,Dan Coats,IN,952116,1744221,952116,54.6%,1
33,2010,Daniel Freilich,VT,5090,229070,151281,2.2%,0
34,2010,Daniel Inouye,HI,277167,370506,277167,74.8%,1
35,2010,David Nolan,AZ,115488,1713114,1005615,6.7%,0
36,2010,David Vitter,LA,715415,1219990,715415,58.6%,1
37,2010,Davison,SD,,0,0,,1
38,2010,Day,SD,,0,0,,1
39,2010,Deuel,SD,,0,0,,1
40,2010,Dewey,SD,,0,0,,1
41,2010,Dino Rossi,WA,1196164,2511094,1314930,47.6%,0
42,2010,Douglas,SD,,0,0,,1
43,2010,Edmunds,SD,,0,0,,1
44,2010,Elaine Marshall,NC,1145074,2660079,1458046,43.0%,0
45,2010,Eric Wargotz,MD,655666,1833304,1140531,35.8%,0
46,2010,Ernest Wooton,LA,28003,1219990,715415,2.3%,0
47,2010,Fall River,SD,,0,0,,1
48,2010,Faulk,SD,,0,0,,1
49,2010,Gail Lightfoot,CA,564286,10000093,5218441,5.6%,0
50,2010,Grant,SD,,0,0,,1
51,2010,Gregory,SD,,0,0,,1
52,2010,Haakon,SD,,0,0,,1
53,2010,Hamlin,SD,,0,0,,1
54,2010,Hand,SD,,0,0,,1
