,state_abbr,year,candidate,party,votes_total
1,AL,2010,Richard Shelby,REP,968181
2,AL,2010,William Barnes,DEM,515619
3,AK,2010,Lisa Murkowski,REP,101091
4,AK,2010,Joe Miller,REP,90860
5,AK,2010,Scott McAdams,DEM,60045
6,AK,2010,Haase,LIB,1459
7,AK,2010,Tim Carter,NAF,927
8,AK,2010,Ted Gianoutsos,NAF,458
9,AK,2010,Sid Hill,W,13
10,AZ,2010,John McCain,REP,1005615
11,AZ,2010,Rodney Glassman,DEM,592011
12,AZ,2010,David Nolan,LIB,80097
13,AZ,2010,Jerry Joslyn,GRE,24603
14,AZ,2010,Ian Gilyeat,W,5938
15,AZ,2010,Santos Chavez,W,39
16,AZ,2010,Sydney Dudikoff,W,14
17,AZ,2010,Ray Caplette,W,7
18,AR,2010,John Boozman,REP,451618
19,AR,2010,Blanche Lincoln,DEM,288156
20,AR,2010,Trevor Drown,IND,25234
21,AR,2010,John Gray,GRE,14430
22,AR,2010,Stephan Hercher,W,143
23,CA,2010,Barbara Boxer,DEM,5218137
24,CA,2010,Carly Fiorina,REP,4217386
25,CA,2010,Gail Lightfoot,LIB,175235
26,CA,2010,Marsha Feinland,PAF,135088
27,CA,2010,Duane Roberts,GRE,128512
28,CA,2010,Edward Noonan,AIP,125435
29,CA,2010,James Harris,W,41
30,CA,2010,Connor Vlakancic,W,11
31,CA,2010,Jerry Carroll,W,10
32,CA,2010,Hans Kugler,W,5
33,CO,2010,Michael Bennet,DEM,854685
34,CO,2010,Ken Buck,REP,824789
35,CO,2010,Bob Kinsey,GRE,38884
36,CO,2010,Maclyn Stringer,LIB,22646
37,CO,2010,Jason Napolitano,UN,19450
38,CO,2010,Charley Miller,UN,11351
39,CO,2010,J. Moromisato,UN,5780
40,CO,2010,Robert Rank,W,52
41,CO,2010,Michele Newman,W,20
42,CO,2010,Bruce Lohmiller,W,11
43,CT,2010,Richard Blumenthal,DEM,636040
44,CT,2010,Linda McMahon,REP,498341
45,CT,2010,Warren Mosler,IND,11275
46,CT,2010,John Mertens,CFL,6735
47,CT,2010,Brian Hill,W,559
48,CT,2010,Jeff Russell,W,45
49,CT,2010,Todd Vachon,W,45
50,CT,2010,Carl Vassar,W,31
51,CT,2010,Jay Giles,W,17
52,CT,2010,John Traceski,W,15
53,CT,2010,Matthew Coleman,W,7
54,CT,2010,Dave Olszta,W,5
55,FL,2010,Marco Rubio,REP,2645743
56,FL,2010,Charlie Crist,NPA,1607549
57,FL,2010,Kendrick Meek,DEM,1092936
58,FL,2010,Alexander Snitker,LIB,24850
59,FL,2010,Sue Askeland,NPA,15340
60,FL,2010,Rick Tyler,NPA,7397
61,FL,2010,Bernie DeCastro,CPF,4792
62,FL,2010,Lewis Armstrong,NPA,4443
63,FL,2010,Bobbie Bean,NPA,4301
64,FL,2010,Bruce Riggs,NPA,3647
65,FL,2010,Piotr Blass,W,47
66,FL,2010,Richard Lock,W,18
67,FL,2010,Belinda Quarterman-Noah,W,18
68,FL,2010,George Drake,W,13
69,FL,2010,Robert Monroe,W,6
70,FL,2010,Howard Knepper,W,4
71,FL,2010,Carol Ann LaRosa,W,2
72,GA,2010,Johnny Isakson,REP,1489904
73,GA,2010,Michael Thurmond,DEM,996516
74,GA,2010,Chuck Donovan,LIB,68750
75,GA,2010,Steve Davis,W,52
76,GA,2010,Raymond Beckworth,W,24
77,GA,2010,Brian Brown,W,12
78,HI,2010,Daniel Inouye,DEM,277228
79,HI,2010,Cam Cavasso,REP,79939
80,HI,2010,Jim Brewer,GRE,7762
