,State,Year,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_plus,education_bachelors_or_higher_age_25_64,education_high_school_diploma_age_25_64,education_less_than_high_school_diploma_age_25_64,education_some_college_age_25_64,employment_armed_forces,employment_employed,employment_not_in_labor_force,employment_unemployed,median_family_income,place_of_birth_foreign,place_of_birth_native,population_female,population_male,race_american_indian_and_alaska_native,race_asian,race_black,race_one_race,race_other,race_pacific_islander,race_two_or_more_races,race_white,with_health_insurance,without_health_insurance
0,Alabama,2015,23.019,16.439,12.435,13.163,13.899,21.045,24.738,29.909,13.661,31.692,0.337,52.571,41.708,5.384,1.439,3.462,96.538,51.536,48.464,0.494,1.234,26.426,98.31,1.264,0.05,1.69,68.841,87.343,12.657
1,Alaska,2015,25.652,19.292,13.598,12.674,14.266,14.518,27.901,28.208,6.569,37.322,2.952,62.12,29.393,5.535,14.903,7.37,92.63,47.618,52.382,13.815,5.853,3.412,91.579,1.264,1.206,8.421,66.03,81.82,18.18
2,Arizona,2015,24.35,16.724,12.766,12.589,12.513,21.059,27.637,23.489,13.79,35.084,0.33,54.03,40.345,5.295,1.142,13.49,86.51,50.329,49.671,4.437,3.013,4.239,96.81,6.487,0.188,3.19,78.446,84.964,15.036
3,Arkansas,2015,23.927,16.24,12.605,12.655,13.343,21.229,22.31,34.12,13.061,30.508,0.205,53.946,41.342,4.507,2.224,4.693,95.307,50.919,49.081,0.622,1.364,15.541,97.886,2.112,0.231,2.114,78.015,85.838,14.162
4,California,2015,23.878,17.842,13.815,13.608,13.069,17.787,32.043,20.342,17.429,30.186,0.435,56.895,36.431,6.239,0.233,27.042,72.958,50.322,49.678,0.747,13.695,5.896,95.485,12.948,0.391,4.515,61.807,85.298,14.702
5,Colorado,2015,23.525,17.242,14.169,13.37,13.669,18.026,39.11,20.678,8.788,31.424,0.778,62.954,31.577,4.691,1.795,9.77,90.23,49.825,50.175,0.947,2.907,4.05,96.524,4.25,0.146,3.476,84.224,87.684,12.316
6,Connecticut,2015,21.839,15.752,11.821,14.24,15.16,21.188,39.881,25.677,8.152,26.29,0.291,61.297,32.484,5.928,3.063,13.92,86.08,51.252,48.748,0.248,4.193,10.311,97.164,5.062,0.027,2.836,77.322,92.098,7.902
7,Delaware,2015,22.036,16.543,12.226,12.92,14.131,22.144,31.565,29.724,10.303,28.408,0.398,58.234,36.505,4.862,9.798,8.653,91.347,51.599,48.401,0.339,3.631,21.64,97.273,2.266,0.033,2.727,69.364,91.763,8.237
8,District of Columbia,2015,17.19,24.624,18.061,12.279,11.558,16.288,57.532,16.915,9.038,16.514,0.63,61.78,31.041,6.549,15.604,14.145,85.855,52.636,47.364,0.333,3.679,48.873,97.324,4.195,0.039,2.676,40.206,94.186,5.814
9,Florida,2015,20.57,15.496,12.063,13.23,13.86,24.781,28.131,28.551,11.575,31.743,0.332,53.125,40.846,5.697,0.358,19.728,80.272,51.134,48.866,0.278,2.591,16.141,97.597,2.51,0.056,2.403,76.02,82.03,17.97
10,Georgia,2015,24.894,17.003,13.508,14.132,13.173,17.291,30.227,27.323,12.939,29.511,0.63,56.317,37.035,6.018,0.762,9.808,90.192,51.199,48.801,0.259,3.602,30.947,97.863,2.792,0.047,2.137,60.217,82.879,17.121
11,Hawaii,2015,21.915,17.264,13.168,12.629,13.278,21.745,32.016,26.708,6.521,34.755,3.659,57.788,34.812,3.741,7.145,17.729,82.271,49.522,50.478,0.214,37.727,2.04,76.312,1.057,9.877,23.688,25.397,94.068,5.932
12,Idaho,2015,26.578,16.221,12.703,12.103,12.736,19.658,26.621,26.46,9.669,37.25,0.272,58.079,37.161,4.488,4.671,6.055,93.945,49.864,50.136,1.268,1.343,0.612,97.45,2.374,0.119,2.55,91.733,85.287,14.713
13,Illinois,2015,23.488,16.625,13.41,13.42,13.844,19.213,34.731,24.7,10.442,30.127,0.171,59.658,34.206,5.965,0.701,14.011,85.989,50.932,49.068,0.22,5.015,14.34,97.751,5.81,0.026,2.249,72.339,88.982,11.018
14,Indiana,2015,24.155,16.512,12.551,13.096,13.942,19.744,25.821,32.36,10.609,31.21,0.059,58.882,36.046,5.014,1.184,4.816,95.184,50.747,49.253,0.225,1.853,9.18,97.783,2.314,0.035,2.217,84.176,87.195,12.805
15,Iowa,2015,23.489,16.463,12.244,12.242,13.883,21.679,29.095,28.447,7.059,35.399,0.07,64.293,32.297,3.34,2.757,4.731,95.269,50.393,49.607,0.323,2.036,3.161,98.029,1.289,0.061,1.971,91.16,92.696,7.304
16,Kansas,2015,25.009,17.041,12.626,12.123,13.536,19.663,32.899,24.581,8.94,33.58,0.775,62.335,32.954,3.935,2.953,6.923,93.077,50.229,49.771,0.83,2.615,5.821,96.704,2.184,0.062,3.296,85.191,88.774,11.226
17,Kentucky,2015,23.106,16.072,12.713,13.427,14.173,20.509,23.854,32.982,12.651,30.513,0.422,54.146,40.441,4.99,1.585,3.435,96.565,50.784,49.216,0.206,1.262,7.892,97.934,0.936,0.05,2.066,87.589,88.631,11.369
18,Louisiana,2015,24.098,17.446,13.091,12.578,13.733,19.054,23.455,33.269,14.702,28.574,0.404,55.475,39.219,4.902,1.572,3.996,96.004,51.113,48.887,0.589,1.682,32.093,98.187,1.029,0.039,1.813,62.754,84.526,15.474
19,Maine,2015,19.732,14.304,11.151,13.641,16.259,24.913,29.831,32.095,6.155,31.919,0.157,59.075,36.442,4.325,5.672,3.503,96.497,51.089,48.911,0.588,1.098,1.131,98.021,0.237,0.014,1.979,94.953,89.958,10.042
20,Maryland,2015,22.735,16.462,13.053,14.076,14.46,19.214,39.612,24.291,9.069,27.028,0.563,62.83,31.582,5.024,1.902,14.464,85.536,51.562,48.438,0.263,6.03,29.524,97.038,3.573,0.046,2.962,57.602,91.038,8.962
21,Massachusetts,2015,20.843,17.452,12.481,13.973,14.572,20.679,43.539,23.41,8.25,24.801,0.083,62.341,32.463,5.113,1.589,15.482,84.518,51.538,48.462,0.197,5.975,7.143,97.097,4.199,0.025,2.903,79.558,96.44,3.56
22,Michigan,2015,22.722,16.159,11.732,13.293,14.78,21.313,28.555,27.843,8.726,34.875,0.047,55.179,38.746,6.028,0.785,6.291,93.709,50.892,49.108,0.545,2.715,13.953,97.361,1.103,0.021,2.639,79.024,90.364,9.636
23,Minnesota,2015,23.633,16.09,12.942,13.111,14.448,19.776,36.008,23.113,6.19,34.689,0.047,66.038,29.996,3.919,1.8,7.726,92.274,50.321,49.679,1.044,4.443,5.521,97.339,1.515,0.036,2.661,84.78,92.966,7.034
24,Mississippi,2015,24.637,16.92,12.567,12.798,13.438,19.639,21.36,29.729,15.276,33.635,0.456,51.6,42.01,5.934,2.112,2.314,97.686,51.416,48.584,0.432,0.967,37.364,98.818,0.867,0.014,1.182,59.174,84.178,15.822
25,Missouri,2015,23.169,16.427,12.538,12.665,14.221,20.98,29.196,29.14,9.765,31.898,0.404,58.455,36.425,4.716,1.266,3.928,96.072,50.971,49.029,0.413,1.762,11.53,97.558,1.118,0.102,2.442,82.633,87.753,12.247
26,Montana,2015,22.114,16.061,12.112,11.558,15.035,23.121,30.405,28.694,5.962,34.94,0.432,59.589,36.007,3.972,7.521,2.068,97.932,49.723,50.277,6.474,0.708,0.469,97.46,0.538,0.084,2.54,89.187,84.461,15.539
27,Nebraska,2015,24.872,16.814,12.857,12.05,13.528,19.878,31.76,24.112,8.51,35.618,0.322,66.577,29.827,3.274,4.623,6.599,93.401,50.272,49.728,0.873,2.036,4.718,97.775,1.945,0.068,2.225,88.134,89.728,10.272
28,Nevada,2015,23.639,16.228,13.825,13.778,13.143,19.387,22.888,27.952,14.736,34.425,0.399,57.33,35.555,6.716,2.756,19.197,80.803,49.699,50.301,1.122,7.677,8.423,95.607,8.795,0.641,4.393,68.95,81.707,18.293
29,New Hampshire,2015,20.517,15.437,11.327,14.307,16.34,22.072,36.53,27.341,6.114,30.015,0.122,64.258,31.691,3.929,7.515,5.72,94.28,50.651,49.349,0.169,2.369,1.317,98.161,0.549,0.017,1.839,93.741,90.676,9.324
30,New Jersey,2015,22.723,15.229,12.799,14.462,14.617,20.171,39.592,26.497,9.276,24.634,0.104,60.136,33.955,5.805,1.241,21.665,78.335,51.226,48.774,0.206,9.04,13.502,97.486,6.381,0.032,2.514,68.325,88.365,11.635
31,New Mexico,2015,24.312,16.817,12.413,11.991,13.621,20.847,25.887,26.462,14.473,33.178,0.547,53.636,40.373,5.444,3.37,9.774,90.226,50.463,49.537,9.142,1.38,2.099,96.735,10.885,0.061,3.265,73.168,83.59,16.41
32,New York,2015,21.612,17.465,13.163,13.602,14.001,20.157,36.567,24.88,12.311,26.242,0.148,58.125,36.52,5.208,0.452,22.481,77.519,51.498,48.502,0.38,7.982,15.607,97.149,8.569,0.033,2.851,64.578,90.338,9.662
33,North Carolina,2015,23.197,16.47,12.825,13.827,13.615,20.066,29.953,25.238,12.319,32.49,1.061,55.971,37.164,5.804,0.741,7.699,92.301,51.293,48.707,1.18,2.479,21.486,97.65,2.969,0.063,2.35,69.473,85.594,14.406
34,North Dakota,2015,22.589,20.058,12.488,11.237,13.607,20.022,30.461,25.278,5.009,39.251,0.98,67.357,29.671,1.992,12.979,3.163,96.837,49.01,50.99,5.305,1.244,1.645,97.765,0.812,0.042,2.235,88.716,90.916,9.084
35,Ohio,2015,22.944,15.891,12.049,13.163,14.591,21.361,28.132,31.944,8.868,31.056,0.09,58.148,36.591,5.171,0.681,4.117,95.883,51.081,48.919,0.187,1.867,12.198,97.519,0.842,0.026,2.481,82.398,90.278,9.722
36,Oklahoma,2015,24.623,17.03,12.872,12.245,13.35,19.881,25.085,30.658,11.89,32.366,0.617,57.257,38.263,3.862,1.932,5.764,94.236,50.466,49.534,7.254,1.937,7.236,92.209,2.569,0.122,7.791,73.091,83.344,16.656
37,Oregon,2015,21.841,15.985,13.396,12.914,13.728,22.136,31.612,22.97,9.845,35.572,0.078,56.325,37.806,5.791,1.981,9.867,90.133,50.537,49.463,1.174,3.978,1.849,95.867,3.368,0.382,4.133,85.117,87.686,12.314
38,Pennsylvania,2015,21.301,16.226,11.814,13.197,14.808,22.653,31.388,33.802,8.465,26.346,0.047,57.795,37.199,4.959,0.656,6.264,93.736,51.13,48.87,0.185,3.072,10.98,97.866,1.98,0.033,2.134,81.616,91.199,8.801
39,Rhode Island,2015,20.407,17.906,12.001,13.405,14.795,21.486,33.965,25.964,10.975,29.097,0.351,59.892,34.161,5.596,8.558,13.342,86.658,51.561,48.439,0.485,3.247,6.477,97.173,5.797,0.035,2.827,81.132,90.736,9.264
40,South Carolina,2015,22.644,16.724,12.3,13.09,13.705,21.537,26.707,29.105,12.355,31.833,0.803,54.376,39.11,5.711,1.476,4.781,95.219,51.389,48.611,0.313,1.402,27.526,98.034,1.535,0.054,1.966,67.204,85.465,14.535
