idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
1,Alex Merced,Alex_Merced,2016,http://www.ontheissues.org/Senate/Alex_Merced.htm,43856,0,0.006,-5,5,-5,-5,5,2.5,5,5,-5,5,5,-5,5,-2.5,-2.5,-5,-5,5,-5,5,0,-37.5,40,L,Libertarian,-1.517772093,13.91093163,6,NY,New York,0.0319,0.0259,0,1,0,,0.326157009,
5,Allen Buckley,Allen_Buckley,2016,http://www.ontheissues.org/Senate/Allen_Buckley.htm,159914,0,0.042,-2.5,5,-2.5,0,5,0,-2.5,0,5,5,2.5,5,-2.5,2.5,-5,0,2.5,-5,-5,5,0,-2.5,15,L,Libertarian,-1.848414167,5.018792628,6,GA,Georgia,0.0332,-0.0088,0,1,0,,0.637326179,
12,Ann Kirkpatrick,Ann_Kirkpatrick,2016,http://www.ontheissues.org/Senate/Ann_Kirkpatrick.htm,839542,0,0.411,-5,-5,-5,2.5,-2.5,-5,-2.5,-2.5,2.5,5,-5,5,2.5,-5,5,-5,-2.5,2.5,-5,-5,0,-10,-20,D,Democrat,8.576816517,1.558586696,1,AZ,Arizona,0.4745,0.0635,0,1,0,1.137987858,0.936330456,1.215369905
30,Brian Schatz,Brian_Schatz,2016,http://www.ontheissues.org/Senate/Brian_Schatz.htm,306543,1,0.739,-5,-5,-5,0,0,-5,-2.5,-5,2.5,-5,5,-2.5,2.5,5,-2.5,-5,-2.5,-5,2.5,-2.5,1,-22.5,-12.5,D,Democrat,10.23778009,-4.623652607,1,HI,Hawaii,0.5978,-0.1412,1,1,1,1.429954492,4.35890645,0.328053494
35,Catherine Cortez Masto,Catherine_Cortez_Masto,2016,http://www.ontheissues.org/Senate/Catherine_Cortez_Masto.htm,520658,1,0.471,-5,-5,2.5,0,-5,-5,-5,-5,2.5,-2.5,-2.5,-5,-5,-2.5,0,-5,2.5,-5,-2.5,-2.5,0,-15,-40,D,Democrat,13.84719116,-1.132624886,7,NV,Nevada,0.4827,0.0117,1,1,1,1.436773473,2.25695648,0.636597775
36,Charles Boustany,Charles_Boustany,2016,http://www.ontheissues.org/Senate/Charles_Boustany.htm,297744,0,0.154,5,2.5,5,2.5,5,5,5,5,-2.5,5,5,5,2.5,5,2.5,-2.5,5,5,5,2.5,0,30,42.5,R,Republican,-16.19797575,1.32182976,3,LA,Louisiana,0.2725,0.1185,0,1,1,,1.311134486,
39,Charles Schumer,Charles_Schumer,2016,http://www.ontheissues.org/Senate/Charles_Schumer.htm,4788374,1,0.704,-5,-5,-5,-2.5,-5,-5,-5,-2.5,2.5,-5,-5,-5,-2.5,-5,2.5,-5,2.5,-5,2.5,-5,1,-15,-47.5,D,Democrat,17.31199846,-4.553611089,7,NY,New York,0.7178,0.0138,1,1,0,0.141839911,0.326157009,0.434882301
45,Chris Van Hollen,Chris_Van_Hollen,2016,http://www.ontheissues.org/Senate/Chris_Van_Hollen.htm,1488845,1,0.604,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-2.5,-5,2.5,-5,0,-5,2.5,-5,-5,-5,0,-35,-40,D,Democrat,18.71314168,1.89611485,2,MD,Maryland,0.5602,-0.0438,1,1,0,1.177613883,1.061390742,1.109500806
46,Chris Vance,Chris_Vance,2016,http://www.ontheissues.org/Senate/Chris_Vance.htm,1220755,0,0.409,0,0,-2.5,0,2.5,-2.5,5,-2.5,0,0,0,-5,5,5,5,0,2.5,2.5,0,2.5,0,-2.5,20,R,Republican,-2.160809654,-0.676106384,4,WA,Washington,0.4764,0.0674,0,1,1,1.331469883,0.865495925,1.538389545
48,Charles Grassley,Chuck_Grassley,2016,http://www.ontheissues.org/Senate/Chuck_Grassley.htm,923280,1,0.602,5,5,5,5,2.5,2.5,5,-2.5,2.5,5,5,5,5,5,2.5,2.5,5,2.5,5,2.5,1,35,40,R,Republican,-15.11558511,-3.681599688,0,IA,Iowa,0.6593,0.0573,1,1,0,0.955136041,1.935574368,0.493463882
