,can_id,candidate,topic,value,state
0,1,Alex Merced,1,-5.0,New York
1,1,Alex Merced,2,5.0,New York
2,1,Alex Merced,3,-5.0,New York
3,1,Alex Merced,4,-5.0,New York
4,1,Alex Merced,5,5.0,New York
5,1,Alex Merced,6,2.5,New York
6,1,Alex Merced,7,5.0,New York
7,1,Alex Merced,8,5.0,New York
8,1,Alex Merced,9,-5.0,New York
9,1,Alex Merced,10,5.0,New York
10,1,Alex Merced,11,5.0,New York
11,1,Alex Merced,12,-5.0,New York
12,1,Alex Merced,13,5.0,New York
13,1,Alex Merced,14,-2.5,New York
14,1,Alex Merced,15,-2.5,New York
15,1,Alex Merced,16,-5.0,New York
16,1,Alex Merced,17,-5.0,New York
17,1,Alex Merced,18,5.0,New York
18,1,Alex Merced,19,-5.0,New York
19,1,Alex Merced,20,5.0,New York
20,2,Allen Buckley,1,-2.5,Georgia
21,2,Allen Buckley,2,5.0,Georgia
22,2,Allen Buckley,3,-2.5,Georgia
23,2,Allen Buckley,4,0.0,Georgia
24,2,Allen Buckley,5,5.0,Georgia
25,2,Allen Buckley,6,0.0,Georgia
26,2,Allen Buckley,7,-2.5,Georgia
27,2,Allen Buckley,8,0.0,Georgia
28,2,Allen Buckley,9,5.0,Georgia
29,2,Allen Buckley,10,5.0,Georgia
30,2,Allen Buckley,11,2.5,Georgia
31,2,Allen Buckley,12,5.0,Georgia
32,2,Allen Buckley,13,-2.5,Georgia
33,2,Allen Buckley,14,2.5,Georgia
34,2,Allen Buckley,15,-5.0,Georgia
35,2,Allen Buckley,16,0.0,Georgia
36,2,Allen Buckley,17,2.5,Georgia
37,2,Allen Buckley,18,-5.0,Georgia
38,2,Allen Buckley,19,-5.0,Georgia
39,2,Allen Buckley,20,5.0,Georgia
40,3,Ann Kirkpatrick,1,-5.0,Arizona
41,3,Ann Kirkpatrick,2,-5.0,Arizona
42,3,Ann Kirkpatrick,3,-5.0,Arizona
43,3,Ann Kirkpatrick,4,2.5,Arizona
44,3,Ann Kirkpatrick,5,-2.5,Arizona
45,3,Ann Kirkpatrick,6,-5.0,Arizona
46,3,Ann Kirkpatrick,7,-2.5,Arizona
47,3,Ann Kirkpatrick,8,-2.5,Arizona
48,3,Ann Kirkpatrick,9,2.5,Arizona
49,3,Ann Kirkpatrick,10,5.0,Arizona
50,3,Ann Kirkpatrick,11,-5.0,Arizona
51,3,Ann Kirkpatrick,12,5.0,Arizona
52,3,Ann Kirkpatrick,13,2.5,Arizona
53,3,Ann Kirkpatrick,14,-5.0,Arizona
54,3,Ann Kirkpatrick,15,5.0,Arizona
55,3,Ann Kirkpatrick,16,-5.0,Arizona
56,3,Ann Kirkpatrick,17,-2.5,Arizona
57,3,Ann Kirkpatrick,18,2.5,Arizona
58,3,Ann Kirkpatrick,19,-5.0,Arizona
59,3,Ann Kirkpatrick,20,-5.0,Arizona
60,4,Brian Schatz,1,-5.0,Hawaii
61,4,Brian Schatz,2,-5.0,Hawaii
62,4,Brian Schatz,3,-5.0,Hawaii
63,4,Brian Schatz,4,0.0,Hawaii
64,4,Brian Schatz,5,0.0,Hawaii
65,4,Brian Schatz,6,-5.0,Hawaii
66,4,Brian Schatz,7,-2.5,Hawaii
