idx,can_id,candidate,topic,value
0,1,Alex Merced,1,-5
1,1,Alex Merced,2,5
2,1,Alex Merced,3,-5
3,1,Alex Merced,4,-5
4,1,Alex Merced,5,5
5,1,Alex Merced,6,2.5
6,1,Alex Merced,7,5
7,1,Alex Merced,8,5
8,1,Alex Merced,9,-5
9,1,Alex Merced,10,5
10,1,Alex Merced,11,5
11,1,Alex Merced,12,-5
12,1,Alex Merced,13,5
13,1,Alex Merced,14,-2.5
14,1,Alex Merced,15,-2.5
15,1,Alex Merced,16,-5
16,1,Alex Merced,17,-5
17,1,Alex Merced,18,5
18,1,Alex Merced,19,-5
19,1,Alex Merced,20,5
20,2,Allen Buckley,1,-2.5
21,2,Allen Buckley,2,5
22,2,Allen Buckley,3,-2.5
23,2,Allen Buckley,4,0
24,2,Allen Buckley,5,5
25,2,Allen Buckley,6,0
26,2,Allen Buckley,7,-2.5
27,2,Allen Buckley,8,0
28,2,Allen Buckley,9,5
29,2,Allen Buckley,10,5
30,2,Allen Buckley,11,2.5
31,2,Allen Buckley,12,5
32,2,Allen Buckley,13,-2.5
33,2,Allen Buckley,14,2.5
34,2,Allen Buckley,15,-5
35,2,Allen Buckley,16,0
36,2,Allen Buckley,17,2.5
37,2,Allen Buckley,18,-5
38,2,Allen Buckley,19,-5
39,2,Allen Buckley,20,5
40,3,Ann Kirkpatrick,1,-5
41,3,Ann Kirkpatrick,2,-5
42,3,Ann Kirkpatrick,3,-5
43,3,Ann Kirkpatrick,4,2.5
44,3,Ann Kirkpatrick,5,-2.5
45,3,Ann Kirkpatrick,6,-5
46,3,Ann Kirkpatrick,7,-2.5
47,3,Ann Kirkpatrick,8,-2.5
48,3,Ann Kirkpatrick,9,2.5
49,3,Ann Kirkpatrick,10,5
50,3,Ann Kirkpatrick,11,-5
51,3,Ann Kirkpatrick,12,5
52,3,Ann Kirkpatrick,13,2.5
53,3,Ann Kirkpatrick,14,-5
54,3,Ann Kirkpatrick,15,5
55,3,Ann Kirkpatrick,16,-5
56,3,Ann Kirkpatrick,17,-2.5
57,3,Ann Kirkpatrick,18,2.5
58,3,Ann Kirkpatrick,19,-5
59,3,Ann Kirkpatrick,20,-5
60,4,Brian Schatz,1,-5
61,4,Brian Schatz,2,-5
62,4,Brian Schatz,3,-5
63,4,Brian Schatz,4,0
64,4,Brian Schatz,5,0
65,4,Brian Schatz,6,-5
66,4,Brian Schatz,7,-2.5
67,4,Brian Schatz,8,-5
68,4,Brian Schatz,9,2.5
69,4,Brian Schatz,10,-5
70,4,Brian Schatz,11,5
71,4,Brian Schatz,12,-2.5
72,4,Brian Schatz,13,2.5
73,4,Brian Schatz,14,5
74,4,Brian Schatz,15,-2.5
75,4,Brian Schatz,16,-5
76,4,Brian Schatz,17,-2.5
77,4,Brian Schatz,18,-5
78,4,Brian Schatz,19,2.5
79,4,Brian Schatz,20,-2.5
80,5,Catherine Cortez Masto,1,-5
81,5,Catherine Cortez Masto,2,-5
