,full_name,first_name,last_name,party,party_full,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
0,Richard_Shelby,Richard,Shelby,R,Republican,AL,5,5,5,2.5,2.5,2.5,5,-2.5,2.5,5,5,5,-2.5,5,5,2.5,5,5,5,2.5,35,35,R,-14.81558705,-2.361126973,0
1,Lisa_Murkowski,Lisa,Murkowski,R,Republican,AK,2.5,-2.5,5,5,-2.5,2.5,2.5,-2.5,2.5,5,5,2.5,5,5,5,-2.5,5,5,5,2.5,27.5,27.5,I,-10.82041605,-6.3511463,5
2,Dan_Sullivan,Dan,Sullivan,R,Republican,AK,5,0,5,0,5,0,0,5,5,5,0,5,2.5,2.5,5,2.5,5,5,0,2.5,37.5,22.5,R,-11.98693611,1.325824915,5
3,John_McCain,John,McCain,R,Republican,AZ,2.5,-2.5,-2.5,2.5,2.5,5,5,-2.5,2.5,5,2.5,-2.5,5,2.5,2.5,-5,5,-2.5,5,2.5,7.5,25,R,-5.431740481,-5.441319369,5
4,Jeff_Flake,Jeff,Flake,R,Republican,AZ,5,2.5,2.5,2.5,5,2.5,5,5,2.5,5,5,2.5,5,5,-2.5,-2.5,5,5,-2.5,5,17.5,45,R,-14.09721077,5.017718652,3
5,John_Boozman,John,Boozman,R,Republican,AR,5,2.5,5,5,5,5,5,2.5,5,5,5,5,5,5,2.5,-2.5,5,5,5,2.5,37.5,45,R,-17.19934879,-2.732002303,0
6,Tom_Cotton,Tom,Cotton,R,Republican,AR,5,2.5,5,5,5,5,5,5,-2.5,5,5,5,0,2.5,5,0,2.5,5,0,2.5,30,37.5,R,-15.56695593,5.767863815,3
7,Dianne_Feinstein,Dianne,Feinstein,D,Democrat,CA,-5,-5,-5,-2.5,-2.5,-2.5,-2.5,-5,2.5,-5,-2.5,-5,2.5,-2.5,-2.5,-2.5,-2.5,-5,2.5,-5,-25,-30,D,15.43216772,-3.370634424,7
8,Michael_Bennet,Michael,Bennet,D,Democrat,CO,-5,-5,-5,0,-2.5,-5,-2.5,-2.5,0,-2.5,-5,-5,2.5,-5,5,-5,2.5,-2.5,5,-2.5,-10,-30,D,12.45812404,-5.711627348,1
9,Cory_Gardner,Cory,Gardner,R,Republican,CO,5,-2.5,5,5,5,5,5,5,0,5,5,2.5,0,5,5,-5,2.5,5,-2.5,5,22.5,37.5,R,-14.51083052,5.366339674,3
10,Richard_Blumenthal,Richard,Blumenthal,D,Democrat,CT,-5,-5,-2.5,-2.5,-5,-5,-2.5,-5,2.5,-5,-5,-2.5,-2.5,-5,5,-5,-2.5,-5,0,-5,-17.5,-45,D,16.66613934,-2.190056679,7
11,Chris_Murphy,Chris,Murphy,D,Democrat,CT,-5,-5,-5,0,-5,-5,-5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-2.5,-5,-2.5,-5,-2.5,-5,-32.5,-47.5,D,19.1531742,2.507725719,2
12,Tom_Carper,Tom,Carper,D,Democrat,DE,-2.5,-2.5,-5,-5,-2.5,-2.5,-2.5,-2.5,2.5,-5,-2.5,-2.5,2.5,-2.5,-5,-5,2.5,-2.5,2.5,-2.5,-20,-22.5,D,12.1287231,-2.184404235,1
